Gene,OptionalDataColumns
ENST00000376480,0.00331
ENST00000375108,0.0029
ENST00000373471,0.00172
ENST00000496770,0.00327
ENST00000311672,0.00275
ENST00000532925,0.00231
ENST00000610401,0.00163
ENST00000420607,0.00188
ENST00000370841,0.00188
ENST00000446538,0.0016
ENST00000370137,0.00189
ENST00000370137,0.00189
ENST00000370137,0.00189
ENST00000369722,0.00167
ENST00000475797,0.0025
ENST00000357836,0.00176
ENST00000369347,0.00306
ENST00000369347,0.00306
ENST00000582693,0.00175
ENST00000545683,0.00249
ENST00000368921,0.0037
ENST00000368304,0.00301
ENST00000512372,0.00158
ENST00000367889,0.00439
ENST00000530507,0.00203
ENST00000367434,0.00166
ENST00000491336,0.00296
ENST00000290419,0.00246
ENST00000367093,0.00216
ENST00000602873,0.00309
ENST00000450372,0.00177
ENST00000335698,0.00168
ENST00000361271,0.00174
ENST00000377602,0.00162
ENST00000345491,0.00172
ENST00000373910,0.00583
ENST00000355790,0.00233
ENST00000707120,0.00179
ENST00000472493,0.00221
ENST00000464716,0.00606
ENST00000356016,0.00172
ENST00000467928,0.00216
ENST00000309579,0.00862
ENST00000456145,0.00225
ENST00000278243,0.00181
ENST00000309357,0.00312
ENST00000265968,0.00387
ENST00000448418,0.0025
ENST00000393375,0.005
ENST00000444749,0.00152
ENST00000266544,0.00152
ENST00000261192,0.00159
ENST00000546179,0.00154
ENST00000534854,0.00253
ENST00000449723,0.00342
ENST00000433805,0.00155
ENST00000354300,0.00152
ENST00000228841,0.00344
ENST00000552374,0.0017
ENST00000541022,0.00391
ENST00000218867,0.00229
ENST00000248484,0.0016
ENST00000611198,0.00268
ENST00000519676,0.00162
ENST00000478244,0.00257
ENST00000356501,0.00184
ENST00000250405,0.00207
ENST00000298159,0.00241
ENST00000298159,0.00241
ENST00000238671,0.00498
ENST00000605997,0.01724
ENST00000557649,0.0025
ENST00000630349,0.0025
ENST00000286953,0.01724
ENST00000566621,0.00209
ENST00000567389,0.00478
ENST00000358005,0.00249
ENST00000428046,0.00254
ENST00000413507,0.00191
ENST00000300069,0.00239
ENST00000395018,0.00211
ENST00000322347,0.00333
ENST00000557943,0.00188
ENST00000299518,0.00174
ENST00000709233,0.00275
ENST00000268668,0.00275
ENST00000007516,0.00401
ENST00000380897,0.00355
ENST00000287490,0.01031
ENST00000318129,0.00231
ENST00000393335,0.00192
ENST00000709372,0.00192
ENST00000253452,0.00169
ENST00000396628,0.00167
ENST00000671820,0.00158
ENST00000393366,0.00368
