Gene,OptionalDataColumns
ENST00000377845,0.0019
ENST00000377855,0.00146
ENST00000375375,0.0013
ENST00000400661,0.00131
ENST00000375121,0.002
ENST00000635198,0.00076
ENST00000437606,0.00076
ENST00000373857,0.00188
ENST00000345512,0.0005
ENST00000536384,0.00174
ENST00000419121,0.00163
ENST00000414241,0.00189
ENST00000373484,0.00156
ENST00000373091,0.0008
ENST00000373048,0.00075
ENST00000347132,0.00108
ENST00000355498,0.00141
ENST00000334793,0.00076
ENST00000357083,0.00225
ENST00000306052,0.0008
ENST00000414150,0.00059
ENST00000371116,0.00157
ENST00000498273,0.00108
ENST00000371060,0.00112
ENST00000357692,0.00164
ENST00000370931,0.00147
ENST00000370563,0.00103
ENST00000370103,0.00196
ENST00000512756,0.0005
ENST00000370068,0.00139
ENST00000369909,0.00174
ENST00000361852,0.00128
ENST00000361965,0.00124
ENST00000369805,0.00124
ENST00000359785,0.00107
ENST00000369510,0.00169
ENST00000682167,0.00087
ENST00000544913,0.00179
ENST00000530472,0.0023
ENST00000369259,0.00117
ENST00000431239,0.00101
ENST00000618040,0.00109
ENST00000417934,0.00141
ENST00000618489,0.00174
ENST00000428024,0.00165
ENST00000368356,0.0023
ENST00000361897,0.00158
ENST00000367868,0.00214
ENST00000263733,0.00167
ENST00000341785,0.0015
ENST00000502732,0.00067
ENST00000511413,0.00073
ENST00000294732,0.00044
ENST00000367362,0.00151
ENST00000367342,0.00096
ENST00000403080,0.00132
ENST00000367030,0.00056
ENST00000639952,0.00081
ENST00000360212,0.00211
ENST00000535273,0.00203
ENST00000366992,0.00098
ENST00000272134,0.00152
ENST00000366820,0.00152
ENST00000271971,0.00107
ENST00000354537,0.0011
ENST00000264187,0.00064
ENST00000317586,0.00197
ENST00000439617,0.001
ENST00000343381,0.00162
ENST00000381312,0.0009
ENST00000704303,0.00155
ENST00000397176,0.00109
ENST00000377495,0.0016
ENST00000396576,0.00139
ENST00000538630,0.00191
ENST00000442986,0.00093
ENST00000452305,0.00093
ENST00000355710,0.00061
ENST00000374312,0.0019
ENST00000537517,0.00069
ENST00000351556,0.00127
ENST00000395562,0.0012
ENST00000435790,0.00117
ENST00000433211,0.00095
ENST00000373306,0.00206
ENST00000351293,0.0017
ENST00000372724,0.00041
ENST00000628523,0.00041
ENST00000286627,0.00069
ENST00000626620,0.00067
ENST00000286628,0.00066
ENST00000623527,0.00096
ENST00000332904,0.00108
ENST00000371418,0.00131
ENST00000266066,0.00172
ENST00000358308,0.0018
ENST00000265992,0.00221
ENST00000344586,0.00215
ENST00000628193,0.00149
ENST00000370546,0.00126
ENST00000517724,0.00092
ENST00000020673,0.00048
ENST00000369849,0.00157
ENST00000263054,0.00073
ENST00000263054,0.00073
ENST00000263054,0.00073
