NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_207396,ENST00000377939,44,35,634,0.00125,0.52352,0.55128
NM_003636,ENST00000428161,19,11,367,0.00158,0.52359,0.54843
NM_001105562,ENST00000343090,80,68,1302,0.00065,0.49915,0.50632
NM_183416,ENST00000377093,69,55,1153,0.00069,0.61704,0.60965
NM_006172,ENST00000376480,6,4,151,0.00442,0.47903,0.33775
NM_014874,ENST00000235329,51,38,757,0.00098,0.57513,0.58399
NM_018156,ENST00000613099,250,200,4363,0.00018,0.48334,0.48287
NM_207348,ENST00000294454,26,16,304,0.00202,0.47723,0.478
NM_001089591,ENST00000696689,4,4,91,0.01099,0.37912,0.37912
NM_182623,ENST00000375662,18,10,280,0.00198,0.50496,0.58393
NM_003000,ENST00000375499,14,12,280,0.00306,0.42041,0.46547
NM_000929,ENST00000375108,5,3,138,0.00435,0.59275,0.81884
NM_152372,ENST00000374434,67,49,1437,0.00051,0.47925,0.53024
NM_001251977,ENST00000374395,16,10,241,0.00259,0.48885,0.44647
NM_032588,ENST00000374272,28,23,353,0.00233,0.54745,0.55081
NM_022778,ENST00000252992,81,63,762,0.00102,0.62229,0.62509
NM_001099626,ENST00000374300,8,6,292,0.00257,0.497,0.57078
NM_004102,ENST00000373713,3,3,133,0.00752,0.56642,0.56642
NM_153756,ENST00000373471,11,10,212,0.00429,0.53345,0.53726
NM_001171941,ENST00000496770,8,7,153,0.00572,0.39052,0.4183
NM_032526,ENST00000235628,20,15,368,0.00204,0.49035,0.53496
NM_173642,ENST00000431473,22,19,391,0.00221,0.3562,0.36909
NM_012236,ENST00000372597,27,21,591,0.00132,0.53456,0.56724
NM_006004,ENST00000311672,4,3,91,0.00824,0.37912,0.28938
NM_001243728,ENST00000532925,18,16,240,0.0037,0.52199,0.48958
NM_147161,ENST00000343744,34,27,594,0.00134,0.49634,0.47936
NM_145716,ENST00000610401,19,17,388,0.00231,0.41793,0.4292
NM_006252,ENST00000371244,23,20,552,0.00158,0.45038,0.43089
NM_001004303,ENST00000343433,35,28,728,0.0011,0.38442,0.35597
NM_000775,ENST00000371204,25,17,502,0.00135,0.51434,0.50305
NM_176877,ENST00000371158,106,94,1801,0.00049,0.50918,0.49551
NM_001172818,ENST00000371083,22,19,580,0.00149,0.56724,0.57795
NM_001127328,ENST00000420607,25,21,425,0.00198,0.46984,0.48874
NM_000016,ENST00000370841,24,20,421,0.00198,0.48367,0.50701
NM_001199327,ENST00000370899,42,36,843,0.00102,0.46823,0.44237
NM_015978,ENST00000326637,40,35,835,0.00105,0.50219,0.48373
NM_144573,ENST00000334785,44,39,675,0.00131,0.46754,0.47054
NM_001242857,ENST00000446538,14,13,358,0.00259,0.47745,0.45767
NM_001195683,ENST00000465892,36,27,850,0.00088,0.51307,0.53608
NM_001256387,ENST00000370137,19,18,335,0.00283,0.50338,0.49469
