Gene,OptionalDataColumns
ENST00000345034,0.00057
ENST00000375534,0.00129
ENST00000436439,0.00066
ENST00000373736,0.00088
ENST00000373237,0.0009
ENST00000373014,0.00079
ENST00000531451,0.0024
ENST00000372362,0.00323
ENST00000545417,0.00235
ENST00000396153,0.00054
ENST00000407246,0.00052
ENST00000370867,0.0011
ENST00000334785,0.00071
ENST00000370665,0.00069
ENST00000370673,0.00144
ENST00000394834,0.00163
ENST00000370668,0.00163
ENST00000370558,0.00076
ENST00000482504,0.00068
ENST00000271234,0.00085
ENST00000370137,0.00063
ENST00000370137,0.00063
ENST00000342173,0.00075
ENST00000369347,0.00102
ENST00000369347,0.00102
ENST00000582693,0.00066
ENST00000583313,0.00144
ENST00000271690,0.00256
ENST00000295314,0.00067
ENST00000421487,0.00052
ENST00000368078,0.00112
ENST00000392190,0.00061
ENST00000482587,0.00286
ENST00000540564,0.00068
ENST00000434571,0.00067
ENST00000331314,0.00054
ENST00000361379,0.00089
ENST00000367443,0.00061
ENST00000367064,0.00056
ENST00000366639,0.00096
ENST00000459912,0.00064
ENST00000433779,0.00066
ENST00000373910,0.00292
ENST00000359322,0.00059
ENST00000394890,0.00078
ENST00000360830,0.00153
ENST00000464716,0.00152
ENST00000645440,0.00153
ENST00000353979,0.00079
ENST00000369889,0.00058
ENST00000381911,0.00061
ENST00000673526,0.00061
ENST00000381905,0.00055
ENST00000672155,0.00055
ENST00000437761,0.00391
ENST00000651785,0.00391
ENST00000255681,0.00062
ENST00000356000,0.00087
ENST00000532504,0.00062
ENST00000672685,0.00062
ENST00000529974,0.00118
ENST00000432584,0.00062
ENST00000547026,0.00061
ENST00000394349,0.00284
ENST00000293502,0.00064
ENST00000551116,0.00112
ENST00000540209,0.00326
ENST00000551641,0.00109
ENST00000541210,0.00059
ENST00000538010,0.001
ENST00000218867,0.00069
ENST00000261667,0.00053
ENST00000478244,0.00064
ENST00000412779,0.0008
ENST00000554970,0.00153
ENST00000554970,0.00153
ENST00000465357,0.00062
ENST00000261479,0.00185
ENST00000298159,0.00241
ENST00000216568,0.00067
ENST00000553530,0.00054
ENST00000621494,0.00056
ENST00000349555,0.00072
ENST00000503767,0.00072
ENST00000448395,0.00055
ENST00000397200,0.00065
ENST00000261868,0.00211
ENST00000261854,0.00055
ENST00000302000,0.0006
ENST00000569896,0.00129
ENST00000542035,0.00079
ENST00000340912,0.00079
ENST00000322347,0.00167
ENST00000346495,0.00188
ENST00000618205,0.00096
ENST00000378919,0.00064
ENST00000535714,0.00141
ENST00000709233,0.00061
ENST00000268668,0.00061
ENST00000262306,0.00186
ENST00000616009,0.00067
ENST00000318059,0.00067
ENST00000381920,0.00068
ENST00000396385,0.00128
ENST00000617552,0.00128
ENST00000396981,0.00098
ENST00000354194,0.00714
ENST00000380728,0.00078
ENST00000673265,0.00078
ENST00000261643,0.00056
ENST00000268717,0.00083
ENST00000469257,0.00197
ENST00000591247,0.00081
ENST00000357146,0.00085
ENST00000612294,0.00122
ENST00000590474,0.00082
ENST00000243457,0.00073
ENST00000649141,0.00059
ENST00000436190,0.00088
ENST00000592875,0.00136
ENST00000409746,0.0012
ENST00000252288,0.00071
ENST00000168977,0.00058
ENST00000596148,0.00089
ENST00000585933,0.00167
ENST00000323670,0.00158
ENST00000262631,0.00092
ENST00000292907,0.00181
ENST00000607714,0.00062
ENST00000340192,0.00065
ENST00000439096,0.00141
ENST00000359342,0.00102
ENST00000344175,0.00087
ENST00000619817,0.00065
ENST00000620357,0.00065
ENST00000622097,0.00065
ENST00000348231,0.00065
ENST00000620077,0.00065
ENST00000616438,0.00055
ENST00000622453,0.00055
ENST00000326321,0.00055
ENST00000621155,0.00055
ENST00000617666,0.00055
ENST00000618616,0.00055
ENST00000615147,0.00055
ENST00000639529,0.00055
ENST00000610296,0.00055
ENST00000613610,0.00055
ENST00000615208,0.00055
ENST00000617354,0.00055
ENST00000617398,0.00055
ENST00000611608,0.00055
ENST00000622024,0.00055
ENST00000619683,0.00055
ENST00000611628,0.00055
ENST00000620550,0.00055
ENST00000614753,0.00055
ENST00000620485,0.00055
ENST00000615308,0.00055
ENST00000639934,0.00055
ENST00000620817,0.00055
ENST00000613891,0.00055
ENST00000621701,0.00055
ENST00000613612,0.00055
ENST00000638665,0.00055
ENST00000618237,0.00055
ENST00000622249,0.00055
ENST00000617957,0.00055
ENST00000610587,0.00055
ENST00000356783,0.00106
ENST00000291901,0.00102
ENST00000233121,0.00075
ENST00000406384,0.00086
ENST00000417641,0.00066
ENST00000244221,0.00203
ENST00000470503,0.00116
ENST00000409785,0.00068
ENST00000283632,0.00064
ENST00000415458,0.00556
ENST00000272645,0.00141
ENST00000284719,0.00084
ENST00000325748,0.00091
ENST00000321801,0.00118
ENST00000341685,0.00095
ENST00000352451,0.00129
ENST00000373671,0.00072
ENST00000409979,0.00061
ENST00000360981,0.00155
ENST00000707857,0.00103
ENST00000399947,0.00103
ENST00000328735,0.00063
ENST00000340344,0.00084
ENST00000399562,0.00238
ENST00000354336,0.00055
ENST00000398822,0.00079
ENST00000215917,0.00074
ENST00000326132,0.0013
ENST00000397326,0.00093
ENST00000397328,0.00093
ENST00000414461,0.00054
ENST00000626107,0.00054
ENST00000340630,0.00154
ENST00000432408,0.00064
ENST00000383820,0.00065
ENST00000383767,0.00061
ENST00000319792,0.00091
ENST00000488919,0.00126
ENST00000495992,0.00072
ENST00000344337,0.00054
ENST00000264993,0.00149
ENST00000420115,0.00606
ENST00000334546,0.00058
ENST00000332047,0.0007
ENST00000446041,0.00074
ENST00000484197,0.00065
ENST00000296048,0.00094
ENST00000355460,0.00056
ENST00000324210,0.00054
ENST00000445224,0.00102
ENST00000241261,0.00059
ENST00000296333,0.00121
ENST00000415895,0.00146
ENST00000264221,0.00061
ENST00000226413,0.00133
ENST00000395748,0.00144
ENST00000324439,0.00077
ENST00000359707,0.0008
ENST00000380180,0.00114
ENST00000511970,0.00202
ENST00000394854,0.00061
ENST00000343106,0.00338
ENST00000307128,0.00087
ENST00000505036,0.00439
ENST00000616265,0.00085
ENST00000437468,0.00641
ENST00000422287,0.00086
ENST00000274054,0.0007
ENST00000296525,0.00101
ENST00000541923,0.00197
ENST00000284767,0.00069
ENST00000296824,0.00107
ENST00000513435,0.01515
ENST00000399793,0.00084
ENST00000325366,0.00057
ENST00000344622,0.0009
ENST00000326524,0.00079
ENST00000302005,0.00133
ENST00000237858,0.00218
ENST00000338252,0.00066
ENST00000553117,0.00055
ENST00000395322,0.00309
ENST00000361991,0.00058
ENST00000513040,0.00085
ENST00000402673,0.00224
ENST00000310331,0.002
ENST00000435422,0.00053
ENST00000389805,0.00052
ENST00000640444,0.00052
ENST00000419065,0.00123
ENST00000259727,0.00053
ENST00000379052,0.00064
ENST00000318204,0.00087
ENST00000374023,0.00076
ENST00000287218,0.00083
ENST00000544153,0.00122
ENST00000274897,0.00084
ENST00000370939,0.00064
ENST00000626021,0.00096
ENST00000370455,0.00059
ENST00000620514,0.00385
ENST00000355238,0.00053
ENST00000436639,0.00052
ENST00000368632,0.00061
ENST00000334268,0.00073
ENST00000662930,0.00157
ENST00000608991,0.00093
ENST00000431403,0.00056
ENST00000525849,0.00053
ENST00000355286,0.00054
ENST00000367519,0.0007
ENST00000337387,0.00244
ENST00000457378,0.0006
ENST00000396667,0.00081
ENST00000409467,0.00081
ENST00000643244,0.00072
ENST00000315758,0.00059
ENST00000394641,0.00171
ENST00000394632,0.00063
ENST00000325885,0.00054
ENST00000292476,0.00053
ENST00000394000,0.00082
ENST00000424091,0.00078
ENST00000292614,0.00142
ENST00000458573,0.00063
ENST00000223026,0.00066
ENST00000428680,0.00062
ENST00000377776,0.00072
ENST00000382824,0.00057
ENST00000645086,0.00062
ENST00000400156,0.00062
ENST00000612855,0.00062
ENST00000338825,0.00212
ENST00000314214,0.00149
ENST00000526349,0.00064
ENST00000522267,0.00476
ENST00000399653,0.00309
ENST00000352966,0.00658
ENST00000523558,0.00074
ENST00000353788,0.00159
ENST00000523096,0.00064
ENST00000521036,0.00078
ENST00000297459,0.00055
ENST00000276689,0.00093
ENST00000397172,0.00093
ENST00000297661,0.0006
ENST00000447837,0.00062
ENST00000605159,0.00057
ENST00000307584,0.00058
ENST00000373547,0.00076
ENST00000644144,0.00057
ENST00000277459,0.00063
ENST00000372264,0.00062
ENST00000358625,0.00128
ENST00000379494,0.00455
ENST00000378474,0.00078
ENST00000362002,0.00079
ENST00000370087,0.00072
ENST00000286448,0.00083
ENST00000711260,0.00083
