ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379198,8,6,329,0.00228,0.78533,0.78116,v37_adrenal_gland
ENST00000339381,46,20,852,0.00051,0.52302,0.42447,v37_adrenal_gland
ENST00000673477,43,24,648,0.00086,0.41333,0.47164,v37_adrenal_gland
ENST00000620829,24,17,502,0.00141,0.58972,0.59175,v37_adrenal_gland
ENST00000378755,47,30,634,0.00101,0.45795,0.44863,v37_adrenal_gland
ENST00000288774,18,11,346,0.00177,0.49534,0.39911,v37_adrenal_gland
ENST00000352527,17,9,353,0.0015,0.55941,0.63519,v37_adrenal_gland
ENST00000164247,19,11,367,0.00158,0.52359,0.54843,v37_adrenal_gland
ENST00000604074,26,16,403,0.00153,0.60594,0.63136,v37_adrenal_gland
ENST00000354437,30,19,499,0.00127,0.53995,0.56671,v37_adrenal_gland
ENST00000378285,28,19,450,0.00151,0.52992,0.51953,v37_adrenal_gland
ENST00000348333,21,15,372,0.00192,0.58436,0.66004,v37_adrenal_gland
ENST00000340850,44,30,1006,0.00068,0.59583,0.56776,v37_adrenal_gland
ENST00000377346,56,40,1044,0.00068,0.44574,0.43101,v37_adrenal_gland
ENST00000304457,68,61,860,0.00104,0.52396,0.51918,v37_adrenal_gland
ENST00000235372,84,58,1718,0.0004,0.52804,0.54972,v37_adrenal_gland
ENST00000441801,18,7,374,0.00104,0.57175,0.56952,v37_adrenal_gland
ENST00000318249,53,46,633,0.00137,0.45641,0.47885,v37_adrenal_gland
ENST00000357071,33,26,758,0.00104,0.42044,0.40983,v37_adrenal_gland
ENST00000374497,17,12,348,0.00203,0.59179,0.61949,v37_adrenal_gland
ENST00000308873,17,9,415,0.00128,0.545,0.56439,v37_adrenal_gland
ENST00000399916,17,9,429,0.00123,0.55985,0.57861,v37_adrenal_gland
ENST00000454452,8,5,321,0.00195,0.35942,0.26542,v37_adrenal_gland
ENST00000374280,37,24,676,0.00096,0.45614,0.46271,v37_adrenal_gland
ENST00000374268,11,7,271,0.00235,0.48943,0.4486,v37_adrenal_gland
ENST00000374271,17,14,341,0.00242,0.47162,0.52262,v37_adrenal_gland
ENST00000531382,31,15,744,0.00065,0.5963,0.5853,v37_adrenal_gland
ENST00000628256,31,15,744,0.00065,0.5963,0.5853,v37_adrenal_gland
ENST00000399173,24,16,529,0.00126,0.61256,0.67084,v37_adrenal_gland
ENST00000373921,37,26,643,0.00109,0.49477,0.43504,v37_adrenal_gland
ENST00000460170,74,53,1440,0.0005,0.44192,0.43892,v37_adrenal_gland
ENST00000373831,24,12,452,0.00111,0.50913,0.52415,v37_adrenal_gland
ENST00000403528,14,6,425,0.00101,0.57697,0.39373,v37_adrenal_gland
ENST00000373797,42,38,720,0.00126,0.4502,0.4462,v37_adrenal_gland
ENST00000336890,26,16,509,0.00121,0.51368,0.52284,v37_adrenal_gland
ENST00000417239,2,0,92,0.0,0.58152,,v37_adrenal_gland
