ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000617400,6,1,192,0.00087,0.66406,0.96875,v30_colon
ENST00000377845,15,3,350,0.00057,0.63391,0.93238,v30_colon
ENST00000377855,18,3,380,0.00044,0.56023,0.93772,v30_colon
ENST00000375375,31,8,520,0.0005,0.53362,0.65048,v30_colon
ENST00000400661,31,8,518,0.0005,0.53294,0.6501,v30_colon
ENST00000635198,56,10,894,0.0002,0.41914,0.417,v30_colon
ENST00000437606,56,10,894,0.0002,0.41914,0.417,v30_colon
ENST00000373857,14,2,342,0.00042,0.55806,0.58626,v30_colon
ENST00000345512,74,9,1446,8e-05,0.44539,0.44598,v30_colon
ENST00000536384,20,3,459,0.00033,0.57941,0.52941,v30_colon
ENST00000419121,18,4,374,0.00059,0.38013,0.5254,v30_colon
ENST00000373484,54,11,476,0.00043,0.62842,0.61746,v30_colon
ENST00000373091,38,8,919,0.00023,0.47775,0.44478,v30_colon
ENST00000373048,50,6,1008,0.00012,0.56264,0.54068,v30_colon
ENST00000347132,28,2,695,0.0001,0.52045,0.51295,v30_colon
ENST00000355498,49,11,521,0.00043,0.49156,0.6163,v30_colon
ENST00000307089,11,0,151,0.0,0.58519,,v30_colon
ENST00000334793,8,0,495,0.0,0.6399,,v30_colon
ENST00000357083,21,4,402,0.00047,0.48105,0.40112,v30_colon
ENST00000306052,35,5,963,0.00015,0.49304,0.74683,v30_colon
ENST00000414150,67,17,1334,0.00019,0.57897,0.48095,v30_colon
ENST00000371116,24,5,478,0.00044,0.56224,0.58578,v30_colon
ENST00000498273,29,16,865,0.00064,0.43209,0.40246,v30_colon
ENST00000371060,33,18,896,0.00061,0.50971,0.45684,v30_colon
ENST00000357692,23,11,529,0.0009,0.4984,0.46657,v30_colon
ENST00000370931,14,3,390,0.00055,0.67857,0.73248,v30_colon
ENST00000370563,36,25,919,0.00076,0.47564,0.49576,v30_colon
ENST00000370103,29,9,458,0.00068,0.38692,0.2409,v30_colon
ENST00000512756,87,56,1690,0.00038,0.49557,0.48825,v30_colon
ENST00000370068,20,7,539,0.00065,0.46865,0.49192,v30_colon
ENST00000369909,19,4,333,0.00063,0.5358,0.58859,v30_colon
ENST00000361852,47,9,563,0.00034,0.46056,0.52082,v30_colon
ENST00000361965,49,11,593,0.00038,0.46137,0.55005,v30_colon
ENST00000369805,49,11,594,0.00038,0.46169,0.5505,v30_colon
ENST00000359785,36,14,807,0.00048,0.47752,0.54789,v30_colon
ENST00000369510,25,5,522,0.00038,0.59739,0.54215,v30_colon
ENST00000682167,64,27,1021,0.00041,0.41747,0.47089,v30_colon
ENST00000544913,30,5,466,0.00036,0.50257,0.51931,v30_colon
ENST00000530472,28,8,310,0.00092,0.55611,0.50242,v30_colon
ENST00000369259,42,13,693,0.00045,0.43953,0.60761,v30_colon
ENST00000431239,47,16,825,0.00041,0.47701,0.56705,v30_colon
ENST00000618040,64,7,746,0.00015,0.32251,0.30927,v30_colon
ENST00000417934,26,4,573,0.00027,0.47288,0.27094,v30_colon
ENST00000618489,23,6,449,0.00058,0.4282,0.48812,v30_colon
ENST00000428024,23,6,449,0.00058,0.4282,0.48812,v30_colon
ENST00000471283,8,1,149,0.00084,0.48742,0.55034,v30_colon
ENST00000368356,27,10,419,0.00088,0.52391,0.60024,v30_colon
ENST00000368072,21,6,299,0.00096,0.5743,0.71238,v30_colon
ENST00000361897,40,3,506,0.00015,0.55791,0.66403,v30_colon
ENST00000367868,19,5,319,0.00082,0.54413,0.44326,v30_colon
ENST00000263733,19,3,409,0.00039,0.43302,0.59576,v30_colon
ENST00000341785,4,0,167,0.0,0.48503,,v30_colon
ENST00000502732,58,22,1182,0.00032,0.54297,0.62567,v30_colon
ENST00000511413,53,20,1079,0.00035,0.54484,0.6405,v30_colon
ENST00000294732,97,51,1892,0.00028,0.54987,0.53925,v30_colon
ENST00000367362,49,18,541,0.00068,0.52631,0.52516,v30_colon
ENST00000367342,37,5,677,0.0002,0.44756,0.45465,v30_colon
ENST00000403080,33,3,619,0.00015,0.47506,0.18255,v30_colon
ENST00000367030,108,20,1172,0.00016,0.5257,0.4436,v30_colon
ENST00000639952,40,12,962,0.00031,0.50657,0.53889,v30_colon
ENST00000680073,12,0,195,0.0,0.45342,,v30_colon
ENST00000535273,24,4,411,0.00041,0.49463,0.6983,v30_colon
ENST00000366992,75,40,942,0.00057,0.60174,0.49936,v30_colon
ENST00000272134,27,3,366,0.0003,0.49626,0.69217,v30_colon
ENST00000366820,27,3,366,0.0003,0.5339,0.69217,v30_colon
ENST00000271971,34,6,690,0.00026,0.43065,0.48406,v30_colon
ENST00000354537,33,6,664,0.00027,0.43063,0.47691,v30_colon
ENST00000391854,3,0,75,0.0,0.31111,,v30_colon
ENST00000318160,12,0,168,0.0,0.62302,,v30_colon
ENST00000264187,69,14,1247,0.00016,0.51035,0.58741,v30_colon
ENST00000317586,11,3,369,0.00074,0.54743,0.1897,v30_colon
ENST00000439617,56,23,854,0.00048,0.56988,0.53925,v30_colon
ENST00000487338,8,1,172,0.00073,0.61846,0.13953,v30_colon
ENST00000381312,36,5,739,0.00019,0.57052,0.5797,v30_colon
ENST00000704303,40,16,548,0.00073,0.51784,0.5146,v30_colon
ENST00000397176,30,10,643,0.00052,0.40622,0.35397,v30_colon
ENST00000377495,16,3,351,0.00053,0.52493,0.28015,v30_colon
ENST00000396576,32,10,605,0.00052,0.53301,0.53223,v30_colon
ENST00000442986,47,21,828,0.00054,0.48507,0.4449,v30_colon
ENST00000452305,46,21,818,0.00056,0.48942,0.43812,v30_colon
ENST00000355710,40,2,1114,4e-05,0.48088,0.64677,v30_colon
ENST00000488328,10,1,109,0.00092,0.46147,0.24771,v30_colon
ENST00000374312,14,3,375,0.00057,0.48133,0.27467,v30_colon
ENST00000537517,64,32,1245,0.0004,0.48165,0.53032,v30_colon
ENST00000351556,40,5,630,0.0002,0.41139,0.42413,v30_colon
ENST00000395562,40,5,666,0.00019,0.44321,0.45525,v30_colon
ENST00000435790,34,8,704,0.00033,0.42392,0.3624,v30_colon
ENST00000433211,46,21,895,0.00051,0.4958,0.50833,v30_colon
ENST00000373306,11,2,398,0.00046,0.52855,0.49874,v30_colon
ENST00000351293,25,8,495,0.00065,0.50287,0.52399,v30_colon
ENST00000372724,120,46,1890,0.0002,0.57835,0.56756,v30_colon
ENST00000628523,120,46,1890,0.0002,0.57835,0.56756,v30_colon
ENST00000286627,43,13,1178,0.00026,0.59233,0.61519,v30_colon
ENST00000626620,44,14,1219,0.00026,0.58957,0.61321,v30_colon
ENST00000286628,43,13,1236,0.00024,0.58964,0.61159,v30_colon
ENST00000623527,29,8,859,0.00032,0.52142,0.45678,v30_colon
ENST00000332904,26,8,745,0.00041,0.53475,0.5344,v30_colon
