Gene,OptionalDataColumns
ENST00000347529,30
ENST00000431635,16
ENST00000310638,24
ENST00000371891,21
ENST00000343433,22
ENST00000453295,18
ENST00000371129,24
ENST00000371218,21
ENST00000349533,32
ENST00000371059,25
ENST00000616738,25
ENST00000370630,15
ENST00000294671,18
ENST00000545708,15
ENST00000370214,23
ENST00000287474,18
ENST00000370161,47
ENST00000490067,15
ENST00000368863,38
ENST00000356657,16
ENST00000295566,26
ENST00000511676,15
ENST00000367981,15
ENST00000442691,15
ENST00000428574,15
ENST00000367982,16
ENST00000367980,16
ENST00000367851,47
ENST00000367797,62
ENST00000308284,32
ENST00000367612,16
ENST00000608469,21
ENST00000367416,21
ENST00000367429,32
ENST00000236914,25
ENST00000367443,16
ENST00000367485,18
ENST00000367485,18
ENST00000367483,20
ENST00000367070,15
ENST00000435016,27
ENST00000307340,161
ENST00000366672,15
ENST00000348069,22
ENST00000397167,23
ENST00000358415,32
ENST00000263035,29
ENST00000326799,25
ENST00000560721,43
ENST00000682911,28
ENST00000299366,18
ENST00000398788,19
ENST00000412050,24
ENST00000371176,16
ENST00000414986,16
ENST00000265992,18
ENST00000647814,39
ENST00000354655,18
ENST00000348367,24
ENST00000617105,25
ENST00000358353,25
ENST00000397542,25
ENST00000617105,25
ENST00000438420,27
ENST00000672334,27
ENST00000241051,23
ENST00000311388,23
ENST00000256999,16
ENST00000526357,22
ENST00000361332,24
ENST00000393955,16
ENST00000311129,21
ENST00000393055,16
ENST00000341980,18
ENST00000527614,19
ENST00000357685,15
ENST00000438022,15
ENST00000614711,21
ENST00000630669,21
ENST00000227474,19
ENST00000345598,16
ENST00000642583,35
ENST00000399591,35
ENST00000011653,19
ENST00000433979,56
ENST00000261195,17
ENST00000420353,17
ENST00000449260,16
ENST00000425394,30
ENST00000548884,21
ENST00000392986,21
ENST00000648861,21
ENST00000188403,23
ENST00000551379,23
ENST00000388887,58
ENST00000359972,46
ENST00000261726,27
ENST00000455480,19
ENST00000257555,16
ENST00000281496,35
ENST00000674147,24
ENST00000400366,23
ENST00000602402,23
ENST00000376503,19
ENST00000376440,19
ENST00000559115,16
ENST00000642239,16
ENST00000396941,15
ENST00000644566,15
ENST00000280082,22
ENST00000341749,31
ENST00000652337,16
ENST00000448935,17
ENST00000553888,19
ENST00000380656,19
ENST00000557311,15
ENST00000393287,23
ENST00000503767,24
ENST00000644486,25
ENST00000688303,15
ENST00000650110,26
ENST00000346991,87
ENST00000560508,41
ENST00000360509,29
ENST00000703585,16
ENST00000268059,20
ENST00000268171,19
ENST00000268070,23
ENST00000611716,15
ENST00000421665,18
ENST00000205557,20
ENST00000620078,20
ENST00000566501,24
ENST00000357890,21
ENST00000394748,27
ENST00000285737,25
ENST00000570206,27
ENST00000251020,31
ENST00000407228,36
ENST00000303334,16
ENST00000620267,48
ENST00000450523,16
ENST00000615103,16
ENST00000453066,16
ENST00000618883,16
ENST00000622842,16
ENST00000382061,16
ENST00000414043,25
ENST00000226218,17
ENST00000491747,28
ENST00000285238,23
ENST00000505279,49
ENST00000240361,61
ENST00000357146,18
ENST00000392676,52
ENST00000411744,18
ENST00000304621,23
ENST00000261326,16
ENST00000423854,32
ENST00000350494,36
ENST00000382927,21
ENST00000251047,24
ENST00000632301,15
ENST00000613122,18
ENST00000592099,36
ENST00000245907,34
ENST00000306708,16
ENST00000450331,19
ENST00000596363,18
ENST00000327325,22
ENST00000327325,22
ENST00000587557,20
ENST00000221363,25
ENST00000397668,18
ENST00000403444,16
ENST00000611002,17
ENST00000263434,22
ENST00000376350,31
ENST00000589093,24
ENST00000707961,137
ENST00000233242,137
ENST00000264717,20
ENST00000379416,24
ENST00000435660,15
ENST00000405322,15
ENST00000316752,18
ENST00000233838,15
ENST00000331393,24
ENST00000443124,24
ENST00000536575,17
ENST00000263915,17
ENST00000650372,39
ENST00000618180,16
ENST00000286063,25
ENST00000446151,22
ENST00000426833,20
ENST00000264110,20
ENST00000190611,19
ENST00000392318,42
ENST00000374700,39
ENST00000409600,15
ENST00000264275,20
ENST00000309955,18
ENST00000432169,15
ENST00000637631,15
ENST00000233072,31
ENST00000357867,65
ENST00000446046,70
ENST00000248444,23
ENST00000258415,17
ENST00000409897,15
ENST00000264051,15
ENST00000324695,19
ENST00000244815,24
ENST00000380469,19
ENST00000408042,54
ENST00000359646,18
ENST00000373433,15
ENST00000400440,15
ENST00000355480,20
ENST00000710295,20
ENST00000381683,19
ENST00000359139,17
ENST00000383812,16
ENST00000403601,16
ENST00000397077,21
ENST00000360273,21
ENST00000453664,30
ENST00000449682,20
ENST00000310271,16
ENST00000484952,16
ENST00000449956,20
ENST00000406595,25
ENST00000266041,26
ENST00000537050,19
ENST00000537050,19
ENST00000302819,22
ENST00000431670,38
ENST00000614479,208
ENST00000360356,33
ENST00000360304,33
ENST00000264990,32
ENST00000264613,21
ENST00000344722,53
ENST00000241274,20
ENST00000231887,15
ENST00000232003,16
ENST00000446828,19
ENST00000361715,44
ENST00000330198,24
ENST00000512465,20
ENST00000334304,36
ENST00000709220,18
ENST00000257408,27
ENST00000305231,16
ENST00000446444,18
ENST00000305107,15
ENST00000615213,18
ENST00000265403,18
ENST00000335568,18
ENST00000604629,15
ENST00000395792,22
ENST00000334306,15
ENST00000264400,16
ENST00000603357,22
ENST00000264572,24
ENST00000317968,15
ENST00000457717,25
ENST00000394634,21
ENST00000326639,38
ENST00000573403,17
ENST00000536354,17
ENST00000264690,16
ENST00000403665,18
ENST00000274278,16
ENST00000337836,31
ENST00000361970,18
ENST00000230882,20
ENST00000612626,20
ENST00000454295,15
ENST00000614617,15
ENST00000511297,57
ENST00000255189,29
ENST00000319854,17
ENST00000378679,17
ENST00000261944,21
ENST00000379933,33
ENST00000420257,35
ENST00000412443,35
ENST00000452530,35
ENST00000383587,35
ENST00000376545,35
ENST00000421042,35
ENST00000448939,35
ENST00000428577,26
ENST00000450090,27
ENST00000676266,26
ENST00000415079,26
ENST00000383369,26
ENST00000383540,27
ENST00000549812,35
ENST00000498271,35
ENST00000546746,35
ENST00000373825,19
ENST00000544460,60
ENST00000274813,23
ENST00000369327,15
ENST00000359831,18
ENST00000368440,17
ENST00000368213,45
ENST00000618215,45
ENST00000528282,24
ENST00000367826,21
ENST00000618822,16
ENST00000296932,27
ENST00000316300,163
ENST00000308192,17
ENST00000408931,15
ENST00000395969,19
ENST00000381160,17
ENST00000357271,18
ENST00000453593,33
ENST00000649586,36
ENST00000265723,37
ENST00000265724,30
ENST00000265631,21
ENST00000416240,22
ENST00000223051,15
ENST00000223051,15
ENST00000343529,118
ENST00000640820,45
ENST00000347053,45
ENST00000417368,19
ENST00000339582,25
ENST00000358373,25
ENST00000430935,15
ENST00000645847,20
ENST00000275815,20
ENST00000461735,15
ENST00000522905,15
ENST00000381861,17
ENST00000518040,16
ENST00000413272,19
ENST00000405140,15
ENST00000468065,19
ENST00000521198,15
ENST00000396423,22
ENST00000401707,30
ENST00000381750,15
ENST00000321612,28
ENST00000443698,43
ENST00000375305,22
ENST00000490972,19
ENST00000674556,17
ENST00000621712,17
ENST00000621712,17
ENST00000259407,17
ENST00000374541,41
ENST00000334318,20
ENST00000223642,44
ENST00000373511,15
ENST00000371929,17
ENST00000626597,17
ENST00000356589,16
ENST00000630465,16
ENST00000684901,63
ENST00000378945,19
ENST00000297875,20
ENST00000683375,23
ENST00000345781,26
ENST00000396965,22
ENST00000340666,20
ENST00000376265,28
ENST00000375169,80
ENST00000324342,15
ENST00000695808,18
ENST00000262839,27
ENST00000371822,21
ENST00000539310,15
ENST00000689310,18
ENST00000329134,52
