ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000338591,24,3,642,0.00019,0.3332,0.29232,v24_testis
ENST00000342066,39,9,681,0.00034,0.49652,0.46043,v24_testis
ENST00000379289,33,4,673,0.00018,0.48404,0.28529,v24_testis
ENST00000379288,18,3,404,0.00041,0.47731,0.40924,v24_testis
ENST00000379116,38,11,802,0.00036,0.46975,0.47427,v24_testis
ENST00000378585,16,0,452,0.0,0.48106,,v24_testis
ENST00000612705,10,0,166,0.0,0.49096,,v24_testis
ENST00000378453,10,0,166,0.0,0.49096,,v24_testis
ENST00000444870,3,0,78,0.0,0.18376,,v24_testis
ENST00000378191,23,6,411,0.00063,0.46144,0.2425,v24_testis
ENST00000377674,44,10,688,0.00033,0.48368,0.43198,v24_testis
ENST00000351136,21,2,587,0.00016,0.45948,0.67888,v24_testis
ENST00000333172,39,4,841,0.00012,0.44544,0.5648,v24_testis
ENST00000377424,22,6,501,0.00054,0.45618,0.33633,v24_testis
ENST00000377414,9,3,244,0.00137,0.31375,0.07514,v24_testis
ENST00000377223,14,8,190,0.00301,0.38572,0.40329,v24_testis
ENST00000340381,34,3,666,0.00013,0.42011,0.60811,v24_testis
ENST00000294484,70,10,1392,0.0001,0.45457,0.23254,v24_testis
ENST00000361445,167,37,2549,9e-05,0.49263,0.47876,v24_testis
ENST00000294485,17,2,349,0.00034,0.4716,0.38396,v24_testis
ENST00000309048,13,5,138,0.00279,0.39409,0.48116,v24_testis
ENST00000400900,14,3,164,0.00131,0.38545,0.23577,v24_testis
ENST00000263932,29,5,595,0.00029,0.43379,0.24034,v24_testis
ENST00000614859,10,3,194,0.00155,0.48247,0.47423,v24_testis
ENST00000334600,22,7,474,0.00067,0.40526,0.42706,v24_testis
ENST00000602960,20,6,475,0.00063,0.48463,0.48666,v24_testis
ENST00000616484,27,4,474,0.00031,0.4632,0.42563,v24_testis
ENST00000357367,27,4,474,0.00031,0.4632,0.42563,v24_testis
ENST00000632222,27,4,474,0.00031,0.4632,0.42563,v24_testis
ENST00000636073,27,4,474,0.00031,0.4632,0.42563,v24_testis
ENST00000375910,10,1,269,0.00037,0.45056,0.82528,v24_testis
