Gene,OptionalDataColumns
ENST00000379116,38
ENST00000611612,41
ENST00000401095,72
ENST00000378378,51
ENST00000270722,51
ENST00000378156,92
ENST00000377093,69
ENST00000613099,250
ENST00000495204,35
ENST00000374434,67
ENST00000361530,53
ENST00000537469,44
ENST00000373480,55
ENST00000453908,39
ENST00000373104,49
ENST00000372583,120
ENST00000372653,60
ENST00000672818,49
ENST00000371528,51
ENST00000357206,62
ENST00000371454,33
ENST00000343744,34
ENST00000371316,33
ENST00000421030,65
ENST00000403491,36
ENST00000370768,61
ENST00000334785,44
ENST00000370589,32
ENST00000370425,68
ENST00000436063,39
ENST00000260506,39
ENST00000294724,70
ENST00000353414,89
ENST00000307546,82
ENST00000369483,76
ENST00000295598,44
ENST00000369496,43
ENST00000369530,42
ENST00000610726,43
ENST00000369356,237
ENST00000618462,228
ENST00000369349,125
ENST00000312210,34
ENST00000493834,40
ENST00000368913,43
ENST00000368799,724
ENST00000531094,99
ENST00000368382,48
ENST00000356955,57
ENST00000313667,70
ENST00000368285,37
ENST00000361200,50
ENST00000367862,82
ENST00000538366,34
ENST00000367840,58
ENST00000294848,60
ENST00000344730,48
ENST00000493293,78
ENST00000362061,73
ENST00000335211,126
ENST00000367478,238
ENST00000361565,70
ENST00000367278,41
ENST00000439764,37
ENST00000367135,36
ENST00000581977,48
ENST00000343410,32
ENST00000391878,87
ENST00000284548,395
ENST00000422127,471
ENST00000366578,57
ENST00000316157,48
ENST00000509513,39
ENST00000263125,33
ENST00000397053,72
ENST00000326799,37
ENST00000436087,47
ENST00000452305,46
ENST00000350537,49
ENST00000374773,51
ENST00000374446,35
ENST00000374391,37
ENST00000610656,37
ENST00000540872,61
ENST00000374144,78
ENST00000374103,45
ENST00000579039,45
ENST00000613657,73
ENST00000503366,93
ENST00000354393,62
ENST00000688812,60
ENST00000358913,85
ENST00000399169,73
ENST00000372873,45
ENST00000394810,63
ENST00000286628,43
ENST00000334512,83
ENST00000327946,48
ENST00000260762,59
ENST00000371380,141
ENST00000370397,43
ENST00000370584,33
ENST00000612478,33
ENST00000371247,70
ENST00000370269,52
ENST00000263054,59
ENST00000348367,46
ENST00000360478,110
ENST00000304129,39
ENST00000369271,39
ENST00000369085,46
ENST00000513429,61
ENST00000260733,54
ENST00000457416,32
ENST00000380525,42
ENST00000612826,42
ENST00000299492,55
ENST00000528883,50
ENST00000397004,43
ENST00000396553,38
ENST00000423302,49
ENST00000389817,81
ENST00000672527,37
ENST00000265963,37
ENST00000349880,123
ENST00000396087,125
ENST00000455725,36
ENST00000622142,70
ENST00000311764,49
ENST00000418331,51
ENST00000406482,79
ENST00000674617,35
ENST00000426142,40
ENST00000528621,43
ENST00000530748,43
ENST00000526357,46
ENST00000415361,43
ENST00000532844,46
ENST00000361332,50
ENST00000399050,50
ENST00000402010,37
ENST00000334944,42
ENST00000532620,67
ENST00000601538,83
ENST00000278550,116
ENST00000315765,40
ENST00000524871,46
ENST00000524871,46
ENST00000650373,272
ENST00000529221,32
ENST00000426998,34
ENST00000392996,38
ENST00000431736,77
ENST00000543440,34
ENST00000392793,92
ENST00000260187,32
ENST00000361953,39
ENST00000399601,95
ENST00000644660,95
ENST00000360168,41
ENST00000228916,37
ENST00000544040,95
ENST00000261167,42
ENST00000542865,44
ENST00000318304,64
ENST00000548696,52
ENST00000452445,43
ENST00000421952,46
ENST00000394815,34
ENST00000332411,36
ENST00000551956,40
ENST00000327443,91
ENST00000300134,66
ENST00000379141,48
ENST00000320743,49
ENST00000398016,54
ENST00000550746,42
ENST00000644991,85
ENST00000261207,55
ENST00000392934,36
ENST00000547405,39
ENST00000553190,35
ENST00000536007,38
ENST00000541119,39
ENST00000550270,36
ENST00000545503,39
ENST00000361685,35
ENST00000547776,58
ENST00000280758,44
ENST00000357167,33
ENST00000228347,60
ENST00000312777,69
ENST00000261726,99
ENST00000397659,32
ENST00000446861,43
ENST00000261729,45
ENST00000546530,46
ENST00000652555,32
ENST00000317775,80
ENST00000317775,80
ENST00000618760,81
ENST00000392533,80
ENST00000261833,113
ENST00000397454,43
ENST00000620786,99
ENST00000432561,40
ENST00000319980,45
ENST00000610343,91
ENST00000536435,66
ENST00000381884,95
ENST00000255486,65
ENST00000280481,150
ENST00000494062,38
ENST00000379673,39
ENST00000337343,64
ENST00000492622,65
ENST00000325089,48
ENST00000397359,42
ENST00000405093,131
ENST00000355349,129
ENST00000446197,41
ENST00000646568,41
ENST00000399332,126
ENST00000548645,38
ENST00000498187,40
ENST00000354822,41
ENST00000396294,38
ENST00000382041,212
ENST00000440021,37
ENST00000395153,36
ENST00000395314,133
ENST00000389722,181
ENST00000261681,47
ENST00000329153,86
ENST00000322564,40
ENST00000555238,39
ENST00000256343,38
ENST00000619027,38
ENST00000216492,33
ENST00000613166,33
ENST00000334192,37
ENST00000409874,73
ENST00000650110,34
ENST00000415757,231
ENST00000356321,49
ENST00000397536,38
ENST00000267889,66
ENST00000220509,57
ENST00000456763,89
ENST00000382448,61
ENST00000648595,47
ENST00000357568,40
ENST00000397163,40
ENST00000450115,126
ENST00000263801,125
ENST00000603300,89
ENST00000389037,84
ENST00000321429,84
ENST00000305560,33
ENST00000396444,63
ENST00000360509,47
ENST00000389286,54
ENST00000338963,70
ENST00000281282,113
ENST00000310958,48
ENST00000442196,58
ENST00000559844,35
ENST00000261889,36
ENST00000618819,36
ENST00000258886,38
ENST00000409931,57
ENST00000359440,63
ENST00000258888,113
ENST00000441037,62
ENST00000629765,39
ENST00000394518,168
ENST00000354377,34
ENST00000420239,38
ENST00000650285,41
ENST00000416288,54
ENST00000350773,75
ENST00000294016,56
ENST00000574025,47
ENST00000631534,47
ENST00000639550,49
ENST00000299853,49
ENST00000300061,36
ENST00000382686,83
ENST00000395503,32
ENST00000160827,43
ENST00000690258,39
ENST00000561482,39
ENST00000398944,53
ENST00000570206,64
ENST00000251020,71
ENST00000542526,47
ENST00000441024,101
ENST00000568908,39
ENST00000456916,39
ENST00000562558,39
ENST00000379463,32
ENST00000568632,37
ENST00000299752,45
ENST00000349945,224
ENST00000354436,223
ENST00000541601,44
ENST00000711372,33
ENST00000434935,33
ENST00000268489,306
ENST00000393422,64
ENST00000343411,49
ENST00000262429,40
ENST00000341690,60
ENST00000433976,33
ENST00000309890,39
ENST00000397035,39
ENST00000359983,41
ENST00000320785,69
ENST00000573359,34
ENST00000252172,139
ENST00000403437,141
ENST00000255381,137
ENST00000583535,136
ENST00000226207,136
ENST00000379980,164
ENST00000397183,139
ENST00000245503,139
ENST00000336708,32
ENST00000388995,48
ENST00000577376,54
ENST00000431387,32
ENST00000394570,56
ENST00000610513,62
ENST00000614941,62
ENST00000264639,36
ENST00000254051,47
