Gene,OptionalDataColumns
ENST00000379116,6
ENST00000308182,8
ENST00000642937,6
ENST00000609129,5
ENST00000373484,6
ENST00000372653,8
ENST00000359947,11
ENST00000355498,6
ENST00000354383,6
ENST00000672818,6
ENST00000371146,14
ENST00000326637,7
ENST00000370571,31
ENST00000370563,9
ENST00000370563,9
ENST00000337338,5
ENST00000512756,18
ENST00000369801,5
ENST00000369709,5
ENST00000687939,5
ENST00000359785,6
ENST00000313835,6
ENST00000431239,8
ENST00000369140,7
ENST00000368969,12
ENST00000541576,7
ENST00000392252,5
ENST00000368138,6
ENST00000538366,7
ENST00000367468,6
ENST00000235382,5
ENST00000367362,10
ENST00000332129,11
ENST00000255427,5
ENST00000271764,10
ENST00000359470,5
ENST00000356082,5
ENST00000367006,5
ENST00000526641,8
ENST00000675850,12
ENST00000366767,23
ENST00000642610,7
ENST00000313519,5
ENST00000324631,5
ENST00000538351,8
ENST00000351773,5
ENST00000395797,5
ENST00000350537,10
ENST00000346874,9
ENST00000417912,5
ENST00000388768,14
ENST00000520133,5
ENST00000520267,5
ENST00000680035,5
ENST00000372724,26
ENST00000628523,26
ENST00000298068,9
ENST00000358334,19
ENST00000356016,12
ENST00000371027,5
ENST00000277982,12
ENST00000648076,7
ENST00000263054,7
ENST00000277945,9
ENST00000629706,9
ENST00000368808,5
ENST00000543663,5
ENST00000627256,16
ENST00000421673,14
ENST00000627926,14
ENST00000389989,5
ENST00000254605,5
ENST00000536344,7
ENST00000530181,9
ENST00000532814,6
ENST00000336930,7
ENST00000349880,10
ENST00000396085,10
ENST00000256999,5
ENST00000256999,5
ENST00000407859,5
ENST00000311027,6
ENST00000300184,5
ENST00000532787,7
ENST00000532463,7
ENST00000528621,8
ENST00000529873,8
ENST00000526357,8
ENST00000325234,6
ENST00000377387,6
ENST00000308127,7
ENST00000436757,6
ENST00000634661,30
ENST00000528231,13
ENST00000526033,10
ENST00000409404,28
ENST00000650373,79
ENST00000619839,6
ENST00000534358,37
ENST00000260264,5
ENST00000543440,5
ENST00000358825,15
ENST00000412006,9
ENST00000340908,47
ENST00000342628,9
ENST00000252322,6
ENST00000399655,7
ENST00000644235,7
ENST00000399638,7
ENST00000644048,7
ENST00000075503,5
ENST00000538714,19
ENST00000451604,18
ENST00000546179,9
ENST00000345127,14
ENST00000344862,7
ENST00000380518,6
ENST00000420353,9
ENST00000394147,6
ENST00000379391,5
ENST00000537215,7
ENST00000300134,8
ENST00000379141,10
ENST00000320743,10
ENST00000250559,9
ENST00000229195,6
ENST00000378778,5
ENST00000342084,6
ENST00000316824,5
ENST00000546369,23
ENST00000258494,9
ENST00000525566,7
ENST00000434735,7
ENST00000392533,21
ENST00000539354,9
ENST00000381527,6
ENST00000542859,17
ENST00000379705,11
ENST00000261491,11
ENST00000613252,10
ENST00000647374,10
ENST00000314070,6
ENST00000629385,9
ENST00000375741,6
ENST00000622767,8
ENST00000644874,6
ENST00000298119,7
ENST00000280083,14
ENST00000356218,7
ENST00000423743,34
ENST00000619722,34
ENST00000312994,5
ENST00000553530,9
ENST00000557658,11
ENST00000262233,6
ENST00000333244,30
ENST00000329886,6
ENST00000557796,5
ENST00000338564,8
ENST00000561208,8
ENST00000355341,5
ENST00000603300,6
ENST00000389037,6
ENST00000569491,5
ENST00000359440,13
ENST00000336292,12
ENST00000565831,5
ENST00000307493,9
ENST00000256797,7
ENST00000566605,6
ENST00000353782,7
ENST00000564887,8
ENST00000354436,54
ENST00000710316,15
ENST00000572940,5
ENST00000395618,5
ENST00000440741,32
ENST00000333942,10
ENST00000610930,5
ENST00000613929,5
ENST00000612895,19
ENST00000611803,19
ENST00000301659,7
ENST00000209718,5
ENST00000574480,5
ENST00000517484,10
ENST00000509773,6
ENST00000503485,5
ENST00000581784,7
ENST00000449996,6
ENST00000200181,6
ENST00000335146,5
ENST00000400155,7
ENST00000399499,8
ENST00000257189,8
ENST00000360428,7
ENST00000434452,7
ENST00000300227,13
ENST00000589544,10
ENST00000436190,8
ENST00000300249,6
ENST00000350494,10
ENST00000598334,12
ENST00000262094,6
ENST00000590208,5
ENST00000360242,10
ENST00000301454,6
ENST00000302851,5
ENST00000344979,6
ENST00000589677,6
ENST00000434377,5
ENST00000308370,6
ENST00000403444,7
ENST00000358394,9
ENST00000427978,8
ENST00000642316,15
ENST00000602168,6
ENST00000319783,9
ENST00000601469,8
ENST00000421033,6
ENST00000301096,8
ENST00000617686,9
ENST00000396332,9
ENST00000619093,9
ENST00000611410,6
ENST00000543010,6
ENST00000611679,6
ENST00000613062,6
ENST00000616040,6
ENST00000619454,6
ENST00000621200,6
ENST00000620082,7
ENST00000615521,6
ENST00000622042,6
ENST00000318203,5
ENST00000315872,35
ENST00000407661,9
ENST00000405222,8
ENST00000295055,8
ENST00000449105,6
ENST00000406316,7
ENST00000402114,15
ENST00000406226,6
ENST00000430487,8
ENST00000409933,11
ENST00000429174,7
ENST00000409366,7
ENST00000409064,23
ENST00000523221,5
ENST00000676053,8
ENST00000321420,6
ENST00000241416,6
ENST00000264169,9
ENST00000407073,24
ENST00000638005,11
ENST00000201943,10
ENST00000263635,13
ENST00000259075,13
ENST00000409044,11
ENST00000359744,7
ENST00000375255,5
ENST00000284719,5
ENST00000295500,14
ENST00000310015,30
ENST00000397062,9
ENST00000520309,20
ENST00000272771,5
ENST00000313728,5
ENST00000448480,5
ENST00000349953,10
ENST00000402774,5
ENST00000357118,5
ENST00000360409,5
ENST00000392105,8
ENST00000392070,5
ENST00000258381,5
ENST00000409897,7
ENST00000392000,8
ENST00000358649,8
ENST00000392004,6
ENST00000217289,10
ENST00000689910,11
ENST00000620891,9
ENST00000201963,5
ENST00000397800,5
ENST00000374114,5
ENST00000279024,7
ENST00000373345,9
ENST00000395961,7
ENST00000603338,8
ENST00000395343,14
ENST00000395340,7
ENST00000269844,9
