ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379236,14,6,277,0.00155,0.6065,0.6438,v17_adipose
ENST00000379289,33,8,673,0.00036,0.48404,0.50594,v17_adipose
ENST00000379265,13,3,234,0.00099,0.54076,0.18091,v17_adipose
ENST00000400930,15,7,275,0.0017,0.57939,0.60312,v17_adipose
ENST00000520777,51,11,951,0.00023,0.50605,0.65233,v17_adipose
ENST00000377263,7,3,81,0.00529,0.52381,0.38683,v17_adipose
ENST00000294435,6,3,134,0.00373,0.70025,0.95273,v17_adipose
ENST00000376629,5,3,152,0.00395,0.77237,0.85965,v17_adipose
ENST00000452018,7,1,155,0.00092,0.61106,0.67097,v17_adipose
ENST00000359318,16,11,407,0.00169,0.52165,0.56913,v17_adipose
ENST00000355096,27,8,474,0.00063,0.4632,0.38634,v17_adipose
ENST00000697200,27,8,474,0.00063,0.4632,0.38634,v17_adipose
ENST00000480945,33,11,399,0.00084,0.49373,0.58008,v17_adipose
ENST00000400797,26,8,327,0.00094,0.43707,0.61812,v17_adipose
ENST00000375448,30,12,663,0.0006,0.50593,0.38952,v17_adipose
ENST00000628229,30,12,663,0.0006,0.50593,0.38952,v17_adipose
ENST00000357071,33,14,758,0.00056,0.42044,0.52818,v17_adipose
ENST00000656825,7,5,191,0.00374,0.45625,0.57487,v17_adipose
ENST00000328664,11,5,417,0.00109,0.4371,0.37362,v17_adipose
ENST00000374024,8,2,330,0.00076,0.76856,0.80303,v17_adipose
ENST00000354982,11,2,288,0.00063,0.50947,0.71007,v17_adipose
ENST00000270879,12,2,299,0.00056,0.5014,0.72074,v17_adipose
ENST00000399173,24,9,529,0.00071,0.61256,0.65764,v17_adipose
ENST00000374005,24,9,529,0.00071,0.61256,0.65764,v17_adipose
ENST00000373921,37,12,643,0.0005,0.49477,0.62273,v17_adipose
ENST00000539896,14,4,342,0.00084,0.55806,0.55848,v17_adipose
ENST00000465518,15,5,218,0.00153,0.63639,0.47431,v17_adipose
ENST00000457433,18,7,436,0.00089,0.41106,0.52916,v17_adipose
ENST00000271064,23,9,467,0.00084,0.3981,0.49679,v17_adipose
ENST00000372539,10,3,211,0.00142,0.41137,0.21485,v17_adipose
ENST00000296387,10,3,224,0.00134,0.3875,0.20238,v17_adipose
ENST00000262915,13,6,444,0.00104,0.57502,0.4542,v17_adipose
ENST00000312233,31,13,620,0.00068,0.50255,0.51228,v17_adipose
ENST00000371330,14,7,449,0.00111,0.59418,0.59497,v17_adipose
ENST00000312553,25,8,613,0.00052,0.48653,0.58728,v17_adipose
ENST00000534056,14,9,340,0.00189,0.32206,0.38431,v17_adipose
ENST00000628037,13,5,365,0.00105,0.70158,0.80438,v17_adipose
