Gene,OptionalDataColumns
ENST00000304952,221
ENST00000428771,247
ENST00000379268,241
ENST00000377507,255
ENST00000054668,139
ENST00000354437,499
ENST00000376753,293
ENST00000614859,194
ENST00000361144,415
ENST00000400797,327
ENST00000375534,182
ENST00000375105,145
ENST00000289749,216
ENST00000615215,215
ENST00000566855,121
ENST00000617979,348
ENST00000374421,491
ENST00000308873,415
ENST00000328664,417
ENST00000618490,116
ENST00000374395,241
ENST00000346452,266
ENST00000349438,354
ENST00000339276,248
ENST00000374027,173
ENST00000374024,330
ENST00000354982,288
ENST00000270879,299
ENST00000362020,134
ENST00000361157,130
ENST00000399173,529
ENST00000374005,529
ENST00000373888,373
ENST00000234549,312
ENST00000539896,342
ENST00000373765,496
ENST00000398958,421
ENST00000373831,452
ENST00000409358,349
ENST00000336890,509
ENST00000526031,335
ENST00000339480,266
ENST00000373362,270
ENST00000207457,430
ENST00000615459,236
ENST00000372587,178
ENST00000372565,365
ENST00000335282,134
ENST00000523677,113
ENST00000431635,361
ENST00000414809,228
ENST00000372359,220
ENST00000621943,279
ENST00000372372,413
ENST00000675259,221
ENST00000262746,199
ENST00000271139,216
ENST00000691006,331
ENST00000528077,106
ENST00000341183,329
ENST00000271153,511
ENST00000404795,542
ENST00000371273,418
ENST00000495776,19
ENST00000371201,546
ENST00000282670,179
ENST00000361321,105
ENST00000427103,422
ENST00000370206,329
ENST00000616709,369
ENST00000370152,490
ENST00000342173,284
ENST00000370083,511
ENST00000330330,511
ENST00000370083,511
ENST00000369949,157
ENST00000369868,251
ENST00000369740,476
ENST00000369748,390
ENST00000369642,193
ENST00000369478,351
ENST00000328189,166
ENST00000534502,430
ENST00000579774,358
ENST00000616917,220
ENST00000436748,227
ENST00000414276,195
ENST00000357235,79
ENST00000392653,72
ENST00000368762,89
ENST00000368737,92
ENST00000368738,114
ENST00000368733,93
ENST00000368713,101
ENST00000368708,98
ENST00000368706,103
ENST00000324978,301
ENST00000368406,183
ENST00000490743,99
ENST00000615517,189
ENST00000338684,241
ENST00000368393,198
ENST00000368390,255
ENST00000368392,264
ENST00000337604,273
ENST00000620103,475
ENST00000620103,475
ENST00000567140,142
ENST00000337428,559
ENST00000289429,327
ENST00000368168,333
ENST00000358292,366
ENST00000368141,407
ENST00000368155,231
ENST00000368198,371
ENST00000368198,371
ENST00000368199,389
ENST00000255030,224
ENST00000368106,434
ENST00000368099,551
ENST00000392254,461
ENST00000368140,492
ENST00000368100,414
ENST00000368097,199
ENST00000368092,198
ENST00000302035,335
ENST00000368043,335
ENST00000368046,243
ENST00000613788,252
ENST00000368039,193
ENST00000368029,325
ENST00000368034,365
ENST00000368012,510
ENST00000311224,345
ENST00000368026,299
ENST00000392179,457
ENST00000650385,233
ENST00000367964,233
ENST00000545495,318
ENST00000271450,317
ENST00000367929,132
ENST00000443193,254
ENST00000367967,254
ENST00000436743,254
ENST00000367910,302
ENST00000538489,344
ENST00000392122,163
ENST00000367819,114
ENST00000367818,114
ENST00000271411,57
ENST00000236147,372
ENST00000367755,532
ENST00000367721,281
ENST00000444639,99
ENST00000444639,99
ENST00000539888,485
ENST00000367554,301
ENST00000308641,367
ENST00000418089,445
ENST00000367535,526
ENST00000697330,526
ENST00000367460,235
ENST00000543215,159
ENST00000367390,388
ENST00000304244,361
ENST00000573477,410
ENST00000367284,371
ENST00000340990,375
ENST00000367229,466
ENST00000442561,398
ENST00000678498,363
ENST00000358184,396
ENST00000659997,177
ENST00000580449,336
ENST00000579436,418
ENST00000577571,265
ENST00000461135,355
ENST00000367064,381
ENST00000314754,440
ENST00000367093,154
ENST00000391929,207
ENST00000294984,206
ENST00000367028,292
ENST00000261464,557
ENST00000413764,493
ENST00000627903,493
ENST00000366987,181
ENST00000366983,135
ENST00000341491,181
ENST00000613104,124
ENST00000336937,106
ENST00000424254,179
ENST00000272091,451
ENST00000366820,366
ENST00000284523,352
ENST00000272102,181
ENST00000430433,164
ENST00000391867,128
ENST00000366488,135
ENST00000343381,464
ENST00000366481,486
ENST00000360358,314
ENST00000366471,474
ENST00000602682,517
ENST00000704335,514
ENST00000191063,304
ENST00000528354,234
ENST00000397248,353
ENST00000525219,231
ENST00000407572,88
