NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_153254,ENST00000379288,18,3,404,0.00041,0.47731,0.40924
NM_024848,ENST00000378531,25,9,497,0.00072,0.50849,0.41829
NM_001242672,ENST00000611612,41,5,566,0.00022,0.47445,0.61767
NM_001242672,ENST00000401095,72,7,1079,9e-05,0.50441,0.63087
NM_001042478,ENST00000378190,23,6,411,0.00063,0.46144,0.2425
NM_018836,ENST00000378191,23,6,411,0.00063,0.46144,0.2425
NM_001204186,ENST00000604074,26,5,403,0.00048,0.60594,0.64616
NM_001204184,ENST00000354437,30,6,499,0.0004,0.53995,0.56914
NM_001204185,ENST00000378295,41,7,636,0.00027,0.54268,0.4982
NM_005427,ENST00000378295,41,7,636,0.00027,0.54268,0.4982
NM_001204190,ENST00000378288,39,7,587,0.00031,0.53318,0.45631
NM_001126241,ENST00000378285,28,6,450,0.00048,0.52992,0.52222
NM_001126242,ENST00000378280,35,9,426,0.0006,0.6216,0.66041
NM_001126240,ENST00000378288,39,7,587,0.00031,0.53318,0.45631
NM_001204192,ENST00000378290,38,7,565,0.00033,0.52892,0.43514
NM_148967,ENST00000348333,21,0,372,0.0,0.58436,
NM_001042665,ENST00000400913,44,10,1006,0.00023,0.59583,0.63459
NM_005957,ENST00000376590,23,3,656,0.0002,0.55567,0.45376
NM_001127325,ENST00000376667,12,2,211,0.00079,0.39613,0.15877
NM_001243,ENST00000263932,29,5,595,0.00029,0.43379,0.24034
NM_152290,ENST00000614859,10,3,194,0.00155,0.48247,0.47423
NM_052929,ENST00000358897,125,40,1412,0.00023,0.51705,0.44949
NM_033440,ENST00000359621,9,1,269,0.00041,0.53697,0.82528
NM_015849,ENST00000375910,10,1,269,0.00037,0.45056,0.82528
NM_001229,ENST00000333868,21,4,416,0.00046,0.44448,0.45493
NM_001136216,ENST00000376014,13,1,253,0.0003,0.53846,0.17787
NM_017940,ENST00000430580,191,60,1139,0.00028,0.38726,0.39243
NM_017940,ENST00000713538,284,90,1704,0.00019,0.46632,0.46466
NM_014675,ENST00000375541,232,21,2017,4e-05,0.48599,0.43879
NM_001135248,ENST00000375534,17,6,182,0.00194,0.38849,0.37271
NM_001204085,ENST00000618761,9,2,181,0.00123,0.53837,0.37016
NM_001204086,ENST00000615215,12,2,215,0.00078,0.47248,0.46976
NM_001256416,ENST00000342104,50,15,621,0.00048,0.45192,0.42791
NM_030761,ENST00000290167,18,3,351,0.00047,0.52058,0.54416
NM_001083621,ENST00000404138,72,21,1239,0.00024,0.53994,0.47584
NM_004442,ENST00000374632,46,5,987,0.00011,0.56997,0.64296
NM_017449,ENST00000374630,46,5,986,0.00011,0.57011,0.6432
NM_001143778,ENST00000635198,56,10,894,0.0002,0.41914,0.417
NM_001143778,ENST00000437606,56,10,894,0.0002,0.41914,0.417
NM_017707,ENST00000634561,57,11,903,0.00021,0.41837,0.39716
NM_017707,ENST00000336689,57,11,903,0.00021,0.41837,0.39716
NM_001077195,ENST00000314011,29,14,470,0.00103,0.49707,0.46793
NM_001077195,ENST00000635400,29,14,470,0.00103,0.49707,0.46793
NM_001195010,ENST00000356046,18,6,556,0.0006,0.57664,0.64748
NM_001251978,ENST00000538532,16,3,241,0.00078,0.48885,0.57815
NM_178422,ENST00000675840,23,5,346,0.00063,0.46607,0.60289
NM_207397,ENST00000374027,8,2,173,0.00145,0.4711,0.59827
NM_001029882,ENST00000374011,72,13,1603,0.00011,0.48579,0.53995
NM_031459,ENST00000645231,23,4,480,0.00036,0.49674,0.46094
NM_031459,ENST00000253063,23,4,480,0.00036,0.49674,0.46094
NM_001143913,ENST00000234549,29,9,312,0.00099,0.51857,0.54915
NM_152304,ENST00000373826,10,1,105,0.00095,0.57619,0.02857
NM_001856,ENST00000373672,91,26,1604,0.00018,0.48711,0.46595
NM_004437,ENST00000373800,30,14,588,0.00079,0.52778,0.51822
NM_001099434,ENST00000409358,24,6,349,0.00072,0.57032,0.64565
NM_001160042,ENST00000537469,44,21,546,0.00087,0.45459,0.50715
NM_001198972,ENST00000373480,55,13,1035,0.00023,0.49284,0.46057
NM_001171940,ENST00000373471,11,2,212,0.00086,0.53345,0.60849
NM_005095,ENST00000314607,98,56,1548,0.00037,0.49635,0.44859
NM_001161708,ENST00000373484,54,11,476,0.00043,0.62842,0.61746
NM_014466,ENST00000207457,34,5,430,0.00034,0.43523,0.36465
NM_177422,ENST00000246314,51,26,626,0.00081,0.49568,0.50479
NM_001199780,ENST00000621781,4,1,84,0.00298,0.65774,0.96429
NM_005955,ENST00000373036,57,22,753,0.00051,0.57454,0.59749
NM_001242908,ENST00000356545,16,1,263,0.00024,0.71269,0.93536
NM_001242909,ENST00000615459,16,1,236,0.00026,0.68035,0.92797
NM_001038633,ENST00000356545,16,1,263,0.00024,0.71269,0.93536
NM_181809,ENST00000331593,23,3,402,0.00032,0.46626,0.55141
NM_022774,ENST00000296380,15,5,373,0.00089,0.58034,0.43003
NM_004700,ENST00000347132,28,2,695,0.0001,0.52045,0.51295
NM_001101376,ENST00000335282,8,2,134,0.00187,0.34888,0.37314
NM_001167965,ENST00000528956,34,16,698,0.00067,0.36394,0.23236
NM_001195831,ENST00000610710,97,32,1283,0.00026,0.5646,0.43029
NM_153274,ENST00000372207,26,4,473,0.00033,0.53488,0.5074
NM_020883,ENST00000359600,78,19,1185,0.00021,0.49791,0.57242
NM_003738,ENST00000372192,70,17,1203,0.0002,0.42521,0.48756
NM_001190182,ENST00000421127,46,14,613,0.0005,0.4295,0.46003
NM_001114938,ENST00000528266,48,15,622,0.0005,0.42283,0.4433
NM_001048173,ENST00000355498,49,11,521,0.00043,0.49156,0.6163
NM_001128425,ENST00000710952,49,11,549,0.00041,0.51489,0.63355
NR_045791,ENST00000307089,11,0,151,0.0,0.58519,
NM_001048166,ENST00000371877,74,40,1288,0.00042,0.55467,0.56035
NM_002867,ENST00000371655,11,2,219,0.00083,0.59485,0.56164
NM_004153,ENST00000371568,57,17,861,0.00035,0.54551,0.51377
NM_152265,ENST00000313334,8,6,158,0.00475,0.37816,0.29747
NM_006671,ENST00000371494,18,3,560,0.0003,0.57669,0.43691
NM_001031672,ENST00000534324,19,2,315,0.00033,0.47402,0.3
NM_001199080,ENST00000312553,25,3,613,0.0002,0.48653,0.54432
NM_148908,ENST00000371714,31,16,723,0.00071,0.40396,0.43759
NR_036662,ENST00000495776,2,0,19,0.0,0.55264,
NR_026782,ENST00000421030,65,14,1323,0.00016,0.57221,0.38095
NM_152377,ENST00000371201,33,14,546,0.00078,0.44544,0.44519
NM_001083592,ENST00000371080,14,5,393,0.00091,0.55089,0.61934
NM_152665,ENST00000282670,9,6,179,0.00372,0.49597,0.47859
NM_024763,ENST00000371026,40,21,848,0.00062,0.47385,0.50949
NM_004675,ENST00000646789,6,1,229,0.00073,0.57715,0.04367
