NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_001243536,ENST00000520296,6,1,65,0.00256,0.5718,0.23077
NM_001256462,ENST00000620829,24,0,502,0.0,0.58972,
NM_138705,ENST00000307786,9,1,181,0.00061,0.37446,0.0221
NM_153818,ENST00000288774,18,2,346,0.00032,0.49534,0.55925
NM_138697,ENST00000333172,39,0,841,0.0,0.44544,
NM_001126241,ENST00000378285,28,5,450,0.0004,0.52992,0.48978
NM_003790,ENST00000356876,24,0,417,0.0,0.56785,
NM_020631,ENST00000377728,44,6,1006,0.00014,0.59583,0.51425
NM_001042663,ENST00000400915,46,6,1043,0.00013,0.58429,0.53148
NM_199006,ENST00000470413,10,3,77,0.0039,0.42987,0.50216
NM_001103170,ENST00000359318,16,3,407,0.00046,0.52165,0.54873
NM_201628,ENST00000376030,54,4,775,0.0001,0.42167,0.53516
NM_001017999,ENST00000400797,26,3,327,0.00035,0.43707,0.62895
NM_001135248,ENST00000375534,17,4,182,0.00129,0.38849,0.46978
NM_003748,ENST00000375341,24,1,563,7e-05,0.53241,0.26643
NM_001040125,ENST00000375153,11,0,291,0.0,0.45798,
NM_001204085,ENST00000618761,9,2,181,0.00123,0.53837,0.37016
NM_024887,ENST00000360009,28,3,334,0.00032,0.65654,0.32635
NM_205861,ENST00000236342,27,3,333,0.00033,0.6531,0.32733
NM_004848,ENST00000373925,25,5,260,0.00077,0.62292,0.78923
NM_001164721,ENST00000539896,14,0,342,0.0,0.55806,
NM_001193532,ENST00000465518,15,0,218,0.0,0.63639,
NM_016011,ENST00000263702,25,1,373,0.00011,0.61844,0.29491
NM_001024732,ENST00000373791,23,1,297,0.00015,0.58469,0.11448
NM_001190481,ENST00000373220,72,14,1275,0.00015,0.56747,0.4316
NM_206837,ENST00000354267,16,1,223,0.00028,0.54596,0.83857
NM_001136275,ENST00000446189,14,2,147,0.00097,0.57532,0.68708
NR_037632,ENST00000494695,2,0,56,0.0,0.55358,
NM_001198851,ENST00000372572,63,18,622,0.00046,0.58041,0.56333
NM_001017922,ENST00000372517,17,1,475,0.00012,0.4218,0.69895
NM_001256401,ENST00000413844,12,1,252,0.00033,0.55622,0.65079
NM_001262,ENST00000396148,9,2,168,0.00132,0.45437,0.35416
NM_078626,ENST00000371761,9,2,168,0.00132,0.45437,0.35416
NM_152265,ENST00000313334,8,1,158,0.00079,0.37816,0.74684
NM_148908,ENST00000371714,31,5,723,0.00022,0.40396,0.44288
NM_001007100,ENST00000430330,7,2,140,0.00204,0.67653,0.60715
NM_181712,ENST00000371153,60,8,995,0.00013,0.47864,0.35126
NM_001172818,ENST00000371083,22,1,580,8e-05,0.56724,0.18448
NM_001199329,ENST00000370894,13,2,169,0.00091,0.47246,0.30473
NM_198717,ENST00000628037,13,0,365,0.0,0.70158,
NM_198716,ENST00000460330,14,0,374,0.0,0.70588,
NR_028293,ENST00000479353,15,0,393,0.0,0.69415,
NM_198714,ENST00000370931,14,0,390,0.0,0.67857,
NM_198719,ENST00000306666,14,0,390,0.0,0.67857,
NM_198715,ENST00000370924,16,2,388,0.00032,0.7181,0.97294
NM_006536,ENST00000370565,48,10,943,0.00022,0.48131,0.40361
