Gene,OptionalDataColumns
ENST00000376667,0.00197
ENST00000614859,0.00309
ENST00000375534,0.00259
ENST00000618761,0.00184
ENST00000374027,0.00217
ENST00000373826,0.0019
ENST00000373471,0.00172
ENST00000621781,0.00595
ENST00000335282,0.00373
ENST00000307089,0.00301
ENST00000371655,0.00208
ENST00000313334,0.00237
ENST00000282670,0.00372
ENST00000371016,0.00152
ENST00000534056,0.00189
ENST00000370867,0.00276
ENST00000370756,0.00259
ENST00000370689,0.00163
ENST00000370109,0.00251
ENST00000369949,0.00159
ENST00000442650,0.00262
ENST00000361066,0.00239
ENST00000271331,0.00317
ENST00000437429,0.00214
ENST00000369781,0.00235
ENST00000369779,0.00158
ENST00000369512,0.00184
ENST00000369167,0.00265
ENST00000331491,0.0046
ENST00000369109,0.00162
ENST00000368755,0.00579
ENST00000368750,0.00579
ENST00000468739,0.00579
ENST00000324978,0.00151
ENST00000613460,0.00344
ENST00000368273,0.00153
ENST00000368222,0.0029
ENST00000368166,0.0034
ENST00000368156,0.00228
ENST00000481278,0.00466
ENST00000367833,0.00221
ENST00000367763,0.00174
ENST00000333279,0.00258
ENST00000540564,0.00181
ENST00000308641,0.00187
ENST00000367510,0.00156
ENST00000462677,0.00243
ENST00000391985,0.0026
ENST00000367470,0.00166
ENST00000533432,0.00194
ENST00000614750,0.00378
ENST00000367155,0.00152
ENST00000469606,0.01149
ENST00000391867,0.00234
ENST00000366503,0.00165
ENST00000447569,0.00752
ENST00000407572,0.01136
ENST00000377799,0.00177
ENST00000313519,0.00186
ENST00000320152,0.0019
ENST00000682389,0.00563
ENST00000684501,0.00254
ENST00000513156,0.00279
ENST00000511769,0.00182
ENST00000316629,0.00365
ENST00000644088,0.00205
ENST00000398786,0.00501
ENST00000256039,0.00323
ENST00000652046,0.00179
ENST00000427197,0.00183
ENST00000299353,0.00581
ENST00000369729,0.00316
ENST00000423273,0.00995
ENST00000442245,0.00394
ENST00000613221,0.00263
ENST00000595228,0.00263
ENST00000300773,0.00275
ENST00000309377,0.00265
ENST00000530998,0.00151
ENST00000531120,0.00204
ENST00000359803,0.002
ENST00000395566,0.002
ENST00000395565,0.002
ENST00000426530,0.00497
ENST00000340573,0.00575
ENST00000426130,0.00193
ENST00000244930,0.00702
ENST00000278282,0.0044
ENST00000255695,0.00206
ENST00000334289,0.00223
ENST00000534360,0.00577
ENST00000613512,0.00269
ENST00000398035,0.00278
ENST00000375618,0.00247
ENST00000332814,0.0027
ENST00000398006,0.00179
ENST00000532984,0.00357
ENST00000392678,0.00213
ENST00000458238,0.00194
