Gene,OptionalDataColumns
ENST00000611612,41
ENST00000401095,72
ENST00000378295,41
ENST00000378295,41
ENST00000378288,39
ENST00000378280,35
ENST00000378288,39
ENST00000378290,38
ENST00000400913,44
ENST00000358897,125
ENST00000430580,191
ENST00000713538,284
ENST00000375541,232
ENST00000342104,50
ENST00000404138,72
ENST00000374632,46
ENST00000374630,46
ENST00000635198,56
ENST00000437606,56
ENST00000634561,57
ENST00000336689,57
ENST00000374011,72
ENST00000373672,91
ENST00000537469,44
ENST00000373480,55
ENST00000314607,98
ENST00000373484,54
ENST00000207457,34
ENST00000246314,51
ENST00000373036,57
ENST00000528956,34
ENST00000610710,97
ENST00000359600,78
ENST00000372192,70
ENST00000421127,46
ENST00000528266,48
ENST00000355498,49
ENST00000710952,49
ENST00000371877,74
ENST00000371568,57
ENST00000421030,65
ENST00000371201,33
ENST00000371026,40
ENST00000294664,42
ENST00000370425,68
ENST00000610020,33
ENST00000353414,89
ENST00000342115,38
ENST00000369763,50
ENST00000336338,132
ENST00000682167,64
ENST00000682167,64
ENST00000369140,48
ENST00000505755,67
ENST00000368801,846
ENST00000368471,38
ENST00000368382,48
ENST00000682650,43
ENST00000368339,55
ENST00000368099,58
ENST00000361509,61
ENST00000367763,39
ENST00000361833,62
ENST00000367661,36
ENST00000367588,72
ENST00000339948,35
ENST00000367589,34
ENST00000709532,63
ENST00000294725,63
ENST00000691036,32
ENST00000367177,34
ENST00000573034,69
ENST00000642603,43
ENST00000258243,105
ENST00000535983,43
ENST00000439617,56
ENST00000366637,55
ENST00000509513,39
ENST00000397167,41
ENST00000397053,72
ENST00000484800,53
ENST00000282343,32
ENST00000376624,34
ENST00000305242,41
ENST00000436087,47
ENST00000545260,90
ENST00000537517,64
ENST00000374201,78
ENST00000373886,53
ENST00000331173,53
ENST00000613657,73
ENST00000354624,41
ENST00000335350,44
ENST00000616684,48
ENST00000224721,115
ENST00000619887,40
ENST00000286628,43
ENST00000334512,83
ENST00000298068,38
ENST00000357060,97
ENST00000277900,37
ENST00000369271,39
ENST00000522781,33
ENST00000304613,93
ENST00000368614,38
ENST00000329962,49
ENST00000305253,36
ENST00000313726,54
ENST00000534127,54
ENST00000547195,33
ENST00000527619,78
ENST00000406071,45
ENST00000650167,139
ENST00000332351,40
ENST00000452863,41
ENST00000448076,41
ENST00000241001,36
ENST00000335185,67
ENST00000622142,70
ENST00000525123,54
ENST00000645431,54
ENST00000407859,80
ENST00000529618,38
ENST00000335613,42
ENST00000338608,36
ENST00000005286,45
ENST00000278836,63
ENST00000265460,61
ENST00000394818,73
ENST00000532787,42
ENST00000361391,49
ENST00000361332,50
ENST00000421062,34
ENST00000301459,34
ENST00000279230,78
ENST00000322147,68
ENST00000311034,44
ENST00000278550,116
ENST00000316398,37
ENST00000445632,55
ENST00000298050,61
ENST00000541150,44
ENST00000325455,51
ENST00000325455,51
ENST00000322536,55
ENST00000651296,91
ENST00000534980,36
ENST00000527524,42
ENST00000543440,34
ENST00000392693,53
ENST00000263577,51
ENST00000310343,118
ENST00000575724,74
ENST00000538872,85
ENST00000571363,45
ENST00000382841,45
ENST00000645965,46
ENST00000399637,96
ENST00000399601,95
ENST00000644660,95
ENST00000683482,95
ENST00000710479,95
ENST00000544040,95
ENST00000203629,39
ENST00000356654,80
ENST00000632393,57
ENST00000536668,57
ENST00000424268,79
ENST00000458174,32
ENST00000320267,35
ENST00000548411,55
ENST00000652176,69
ENST00000548696,52
ENST00000432584,32
ENST00000337299,68
ENST00000380518,71
ENST00000320516,36
ENST00000540990,34
ENST00000536187,34
ENST00000453097,39
ENST00000379791,35
ENST00000257863,41
ENST00000550311,35
ENST00000449260,41
ENST00000394147,37
