NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_198317,ENST00000338591,24,1,642,6e-05,0.3332,0.3676
NM_017891,ENST00000421241,3,1,198,0.00168,0.57407,0.82828
NM_152486,ENST00000342066,39,2,681,8e-05,0.49652,0.6094
NM_001014980,ENST00000330388,21,3,302,0.00047,0.54415,0.62031
NM_001029885,ENST00000343938,8,0,214,0.0,0.61098,
NM_152228,ENST00000339381,46,1,852,3e-05,0.52302,0.03052
NM_001130045,ENST00000379289,33,2,673,9e-05,0.48404,0.24368
NM_153254,ENST00000379288,18,1,404,0.00014,0.47731,0.5
NM_148901,ENST00000328596,15,3,255,0.00078,0.54484,0.44575
NR_037668,ENST00000379116,38,6,802,0.0002,0.46975,0.41937
NM_194458,ENST00000347370,11,4,207,0.00176,0.65876,0.53502
NM_058167,ENST00000349431,14,4,259,0.0011,0.59349,0.62838
NM_001242659,ENST00000422725,4,0,226,0.0,0.53429,
NM_017900,ENST00000338338,11,0,199,0.0,0.56693,
NM_001256456,ENST00000540437,32,0,606,0.0,0.52965,
NM_000815,ENST00000378585,16,0,452,0.0,0.48106,
NM_024848,ENST00000378531,25,5,497,0.0004,0.50849,0.40966
NM_001010926,ENST00000612705,10,0,166,0.0,0.49096,
NM_001010926,ENST00000378453,10,0,166,0.0,0.49096,
NM_152492,ENST00000294600,60,8,656,0.0002,0.60579,0.61871
NM_001163724,ENST00000444870,3,0,78,0.0,0.18376,
NM_015557,ENST00000262450,85,7,1954,4e-05,0.60167,0.65214
NM_018836,ENST00000378191,23,3,411,0.00032,0.46144,0.22871
NM_033467,ENST00000611357,49,7,779,0.00018,0.52152,0.47992
NM_033467,ENST00000378412,49,7,779,0.00018,0.52152,0.47992
NM_031475,ENST00000645284,44,5,854,0.00013,0.57994,0.78361
NM_005341,ENST00000377674,44,4,688,0.00013,0.48368,0.57558
NM_153812,ENST00000377648,10,0,300,0.0,0.56167,
NM_177540,ENST00000351136,21,0,587,0.0,0.45948,
NM_138697,ENST00000333172,39,0,841,0.0,0.44544,
NM_181866,ENST00000377842,15,1,329,0.0002,0.60993,0.97568
NM_001242701,ENST00000557126,2,1,101,0.00495,0.55446,0.93069
NM_001204187,ENST00000603362,44,6,555,0.00025,0.59115,0.53123
NM_001204192,ENST00000378290,38,6,565,0.00028,0.52892,0.4233
NM_148967,ENST00000348333,21,0,372,0.0,0.58436,
NM_012102,ENST00000337907,94,10,1566,7e-05,0.55304,0.51769
NM_003039,ENST00000377424,22,4,501,0.00036,0.45618,0.39122
NM_001135585,ENST00000377414,9,2,244,0.00091,0.31375,0.10246
NM_032368,ENST00000377223,14,5,190,0.00188,0.38572,0.31579
NM_001130924,ENST00000340381,34,2,666,9e-05,0.42011,0.55406
NM_020780,ENST00000294484,70,4,1392,4e-05,0.45457,0.20204
NM_004958,ENST00000361445,167,17,2549,4e-05,0.49263,0.48074
NM_198545,ENST00000294485,17,1,349,0.00017,0.4716,0.61891
NM_199294,ENST00000309048,13,4,138,0.00223,0.39409,0.41304
NR_036462,ENST00000477755,5,1,78,0.00256,0.68462,0.73077
NM_198544,ENST00000400900,14,3,164,0.00131,0.38545,0.23577
NM_001243768,ENST00000602296,6,0,143,0.0,0.65035,
NM_001302,ENST00000377049,6,0,105,0.0,0.57619,
NM_183412,ENST00000251546,14,1,224,0.00032,0.58578,0.90625
NM_001243,ENST00000263932,29,4,595,0.00023,0.43379,0.15294
NM_001040195,ENST00000376637,6,0,111,0.0,0.53303,
NM_152290,ENST00000614859,10,3,194,0.00155,0.48247,0.47423
NM_001103170,ENST00000359318,16,3,407,0.00046,0.52165,0.54873
NM_001024661,ENST00000334600,22,3,474,0.00029,0.40526,0.40999
NM_001099852,ENST00000602960,20,2,475,0.00021,0.48463,0.26105
NM_052929,ENST00000358897,125,16,1412,9e-05,0.51705,0.42338
NM_001012276,ENST00000616484,27,0,474,0.0,0.4632,
NM_001012276,ENST00000357367,27,0,474,0.0,0.4632,
NM_001012276,ENST00000632222,27,0,474,0.0,0.4632,
NM_001012276,ENST00000636073,27,0,474,0.0,0.4632,
NM_033440,ENST00000359621,9,0,269,0.0,0.53697,
NM_015849,ENST00000375910,10,0,269,0.0,0.45056,
NM_001242884,ENST00000537142,38,2,721,7e-05,0.5726,0.32386
NM_013358,ENST00000375471,27,4,663,0.00022,0.54539,0.55166
NM_013358,ENST00000631074,27,4,663,0.00022,0.54539,0.55166
NM_019062,ENST00000375121,11,2,227,0.0008,0.4121,0.3282
NM_001039500,ENST00000289815,61,3,1215,4e-05,0.5325,0.32702
NM_001103161,ENST00000444387,24,1,423,0.0001,0.39096,0.36643
NM_001122819,ENST00000400463,60,3,1028,5e-05,0.51782,0.60603
NM_020816,ENST00000247986,60,3,1029,5e-05,0.5174,0.60577
NM_003760,ENST00000264211,98,20,1585,0.00013,0.44721,0.43908
NM_001198801,ENST00000400422,99,21,1621,0.00013,0.452,0.44015
NM_001198803,ENST00000682284,36,8,515,0.00043,0.32762,0.25146
NM_001256417,ENST00000454000,47,7,563,0.00026,0.44885,0.44532
NM_032264,ENST00000318249,53,9,633,0.00027,0.45641,0.42619
NM_020526,ENST00000166244,43,3,1005,7e-05,0.54409,0.46435
NM_001083621,ENST00000404138,72,10,1239,0.00011,0.53994,0.4226
NM_001242521,ENST00000566855,4,0,121,0.0,0.49587,
NM_000864,ENST00000374619,10,0,377,0.0,0.45995,
NM_004091,ENST00000634683,29,1,437,8e-05,0.51811,0.47597
NM_004091,ENST00000361729,29,1,437,8e-05,0.51811,0.47597
NM_015013,ENST00000356634,51,13,852,0.0003,0.53187,0.5074
NM_001009999,ENST00000400181,54,13,876,0.00027,0.52281,0.51844
NM_021180,ENST00000236255,19,3,607,0.00026,0.58216,0.42229
NM_178122,ENST00000003583,11,0,287,0.0,0.52075,
NM_001199013,ENST00000337248,16,3,334,0.00056,0.43245,0.05688
NM_001199014,ENST00000003583,11,0,287,0.0,0.52075,
NM_001199012,ENST00000374409,16,3,334,0.00056,0.43245,0.05688
NM_024037,ENST00000374298,27,1,357,0.0001,0.58253,0.73669
NM_020485,ENST00000294413,12,0,417,0.0,0.44704,
NM_022778,ENST00000252992,81,13,762,0.00021,0.62229,0.64254
NM_001039775,ENST00000308182,92,8,1661,5e-05,0.48484,0.57586
NM_024674,ENST00000326279,12,2,209,0.0008,0.60247,0.9354
NM_001145454,ENST00000426559,12,2,174,0.00096,0.52299,0.72701
NM_203399,ENST00000357865,9,1,149,0.00075,0.48397,0.7651
NM_173574,ENST00000349618,33,6,504,0.00036,0.5196,0.28604
NM_001114759,ENST00000349618,33,6,504,0.00036,0.5196,0.28604
NM_183008,ENST00000374221,37,2,520,0.0001,0.48259,0.63846
NM_017837,ENST00000674202,21,3,493,0.00029,0.53869,0.64571
NR_037577,ENST00000478104,4,0,154,0.0,0.38149,
NM_002946,ENST00000373912,14,1,270,0.00026,0.47513,0.26667
NM_022873,ENST00000339145,2,0,138,0.0,0.38406,
NM_016311,ENST00000335514,10,2,106,0.00189,0.51509,0.59434
NM_016311,ENST00000647074,10,2,106,0.00189,0.51509,0.59434
NM_005644,ENST00000373824,11,3,161,0.00169,0.52456,0.49482
NM_133177,ENST00000460170,74,3,1440,3e-05,0.44192,0.3588
NM_144569,ENST00000360482,75,11,1216,0.00012,0.52811,0.37612
NM_001199037,ENST00000536859,19,2,459,0.00023,0.60842,0.72113
NM_203342,ENST00000642937,34,6,655,0.00027,0.52802,0.52443
NM_024296,ENST00000373602,11,0,200,0.0,0.55227,
NM_001167676,ENST00000432622,3,0,127,0.0,0.50131,
NM_052841,ENST00000373534,13,0,268,0.0,0.49627,
NM_001145720,ENST00000609129,21,5,495,0.00048,0.53285,0.59515
NM_018134,ENST00000291358,39,11,466,0.00061,0.42066,0.62544
NM_052998,ENST00000294517,18,3,460,0.00036,0.49517,0.41739
NM_001143889,ENST00000419121,18,3,374,0.00045,0.38013,0.57665
NM_018045,ENST00000455895,18,3,430,0.00039,0.42468,0.63178
NM_022753,ENST00000373475,25,6,408,0.00059,0.68353,0.62909
NM_153341,ENST00000373456,27,5,732,0.00025,0.55798,0.78388
NM_001127361,ENST00000356990,18,2,587,0.00019,0.49073,0.7104
NM_153212,ENST00000339480,5,1,266,0.00075,0.32181,0.29699
NM_001134734,ENST00000488417,42,8,598,0.00032,0.58198,0.52488
NM_001080418,ENST00000373347,54,8,979,0.00015,0.53486,0.46706
NM_052896,ENST00000373388,153,12,3487,2e-05,0.48269,0.596
NM_145205,ENST00000519684,13,1,186,0.00041,0.53226,0.87097
NM_198040,ENST00000257118,91,17,858,0.00022,0.39705,0.39627
NM_005095,ENST00000314607,98,24,1548,0.00016,0.49635,0.42768
NM_001164824,ENST00000417239,2,0,92,0.0,0.58152,
NM_014466,ENST00000207457,34,4,430,0.00027,0.43523,0.43488
NM_022111,ENST00000318121,74,14,1339,0.00014,0.567,0.43145
NM_024676,ENST00000505871,32,0,645,0.0,0.56037,
NM_018101,ENST00000327331,15,3,280,0.00071,0.51286,0.41905
NM_145047,ENST00000235532,25,2,379,0.00021,0.51937,0.86676
NM_206837,ENST00000354267,16,1,223,0.00028,0.54596,0.83857
NM_005955,ENST00000373036,57,12,753,0.00028,0.57454,0.6504
NM_172313,ENST00000373104,49,5,783,0.00013,0.47934,0.39489
NM_002699,ENST00000373012,21,0,451,0.0,0.46078,
NM_001099439,ENST00000373048,50,2,1008,4e-05,0.56264,0.6126
NM_014571,ENST00000372852,15,1,328,0.0002,0.29898,0.23171
NR_037634,ENST00000454994,28,4,514,0.00028,0.51216,0.39688
NM_030772,ENST00000357771,26,5,515,0.00037,0.47625,0.49476
NM_023070,ENST00000361584,29,3,534,0.00019,0.45945,0.40262
NM_022120,ENST00000327582,18,0,517,0.0,0.53664,
NM_001146192,ENST00000372565,26,5,365,0.00053,0.52487,0.83397
NM_032257,ENST00000372565,26,5,365,0.00053,0.52487,0.83397
NM_001101376,ENST00000335282,8,1,134,0.00093,0.34888,0.63433
NM_001168247,ENST00000439569,34,1,407,7e-05,0.59387,0.02457
NM_144990,ENST00000302946,34,1,407,7e-05,0.59387,0.02457
NM_199342,ENST00000372521,10,3,66,0.00455,0.63182,0.58586
NM_001255,ENST00000310955,34,3,499,0.00018,0.44837,0.37408
NM_001159936,ENST00000431635,32,3,361,0.00026,0.56934,0.64081
NM_001167965,ENST00000528956,34,5,698,0.00021,0.36394,0.26848
NM_001195831,ENST00000610710,97,11,1283,9e-05,0.5646,0.48019
NM_173484,ENST00000372299,33,4,389,0.00031,0.47464,0.46787
NM_001145636,ENST00000535358,26,1,440,9e-05,0.47981,0.03864
NM_006845,ENST00000372224,46,8,725,0.00024,0.55589,0.58052
NM_152499,ENST00000372318,27,3,307,0.00036,0.55145,0.63084
NM_001166292,ENST00000447098,69,10,1146,0.00013,0.43829,0.54066
NM_003738,ENST00000372192,70,10,1203,0.00012,0.42521,0.51505
NM_001048172,ENST00000354383,49,6,522,0.00023,0.49234,0.66539
NM_001145349,ENST00000359942,30,5,582,0.00029,0.37234,0.23849
NM_002482,ENST00000350030,36,13,788,0.00046,0.53677,0.47882
NM_001243766,ENST00000371992,25,2,748,0.00011,0.47631,0.80548
NM_001145474,ENST00000334122,14,2,206,0.00069,0.48509,0.3398
NM_003579,ENST00000371975,42,2,747,6e-05,0.48199,0.68942
NM_001142548,ENST00000442598,42,2,747,6e-05,0.48199,0.68942
NM_001114172,ENST00000420542,31,7,461,0.00049,0.55475,0.61388
NM_001256127,ENST00000537428,23,4,335,0.00052,0.53952,0.70821
NM_012186,ENST00000335071,5,0,319,0.0,0.61254,
