ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378567,25,13,592,0.00088,0.51426,0.52586,v32_lung
ENST00000054668,4,4,139,0.00719,0.58094,0.58094,v32_lung
ENST00000303635,105,49,1673,0.00028,0.59187,0.64847,v32_lung
ENST00000354437,30,11,499,0.00073,0.53995,0.51922,v32_lung
ENST00000376753,19,6,293,0.00108,0.68996,0.82196,v32_lung
ENST00000358897,125,62,1412,0.00035,0.51705,0.52137,v32_lung
ENST00000361144,33,9,415,0.00066,0.46499,0.6324,v32_lung
ENST00000400797,26,8,327,0.00094,0.43707,0.61812,v32_lung
ENST00000375105,11,1,145,0.00063,0.58809,0.86897,v32_lung
ENST00000342104,50,27,621,0.00087,0.45192,0.5187,v32_lung
ENST00000566855,4,1,121,0.00207,0.49587,0.61157,v32_lung
ENST00000617979,17,4,348,0.00068,0.59179,0.53161,v32_lung
ENST00000308873,17,7,415,0.00099,0.545,0.58554,v32_lung
ENST00000308182,92,26,1661,0.00017,0.48484,0.56222,v32_lung
ENST00000339276,11,1,248,0.00037,0.49707,0.60887,v32_lung
ENST00000374168,30,10,735,0.00045,0.61116,0.53619,v32_lung
ENST00000629832,30,10,735,0.00045,0.61116,0.53619,v32_lung
ENST00000531382,31,8,744,0.00035,0.5963,0.66499,v32_lung
ENST00000628256,31,8,744,0.00035,0.5963,0.66499,v32_lung
ENST00000374027,8,3,173,0.00217,0.4711,0.7264,v32_lung
ENST00000374024,8,2,330,0.00076,0.76856,0.80303,v32_lung
ENST00000354982,11,2,288,0.00063,0.50947,0.71007,v32_lung
ENST00000270879,12,2,299,0.00056,0.5014,0.72074,v32_lung
ENST00000399173,24,9,529,0.00071,0.61256,0.65764,v32_lung
ENST00000374005,24,9,529,0.00071,0.61256,0.65764,v32_lung
ENST00000373888,13,6,373,0.00124,0.57393,0.64299,v32_lung
ENST00000234549,29,13,312,0.00144,0.51857,0.52465,v32_lung
ENST00000373921,37,12,643,0.0005,0.49477,0.62273,v32_lung
ENST00000539896,14,4,342,0.00084,0.55806,0.55848,v32_lung
ENST00000398958,21,7,421,0.00079,0.53489,0.679,v32_lung
ENST00000373831,24,8,452,0.00074,0.50913,0.62721,v32_lung
ENST00000409358,24,8,349,0.00096,0.57032,0.6053,v32_lung
ENST00000336890,26,10,509,0.00076,0.51368,0.57957,v32_lung
ENST00000615459,16,1,236,0.00026,0.68035,0.92797,v32_lung
ENST00000372587,11,5,178,0.00255,0.57712,0.69888,v32_lung
ENST00000372565,26,11,365,0.00116,0.52487,0.61968,v32_lung
ENST00000523677,3,1,113,0.00295,0.68142,0.84071,v32_lung
ENST00000431635,32,16,361,0.00139,0.56934,0.59712,v32_lung
ENST00000621943,12,8,279,0.00239,0.57497,0.55376,v32_lung
ENST00000359947,102,46,1907,0.00024,0.54563,0.60101,v32_lung
ENST00000675259,7,2,221,0.00129,0.39431,0.6267,v32_lung
ENST00000537798,34,20,724,0.00081,0.52547,0.52949,v32_lung
ENST00000262746,9,5,199,0.00279,0.64154,0.5809,v32_lung
ENST00000271139,9,4,216,0.00206,0.4748,0.61459,v32_lung
ENST00000691006,10,2,331,0.0006,0.54713,0.61934,v32_lung
ENST00000528077,7,6,106,0.00809,0.72642,0.7217,v32_lung
ENST00000341183,19,4,329,0.00064,0.55447,0.60106,v32_lung
ENST00000438567,24,7,681,0.00043,0.50906,0.59157,v32_lung
ENST00000236495,25,7,706,0.0004,0.51173,0.60603,v32_lung
ENST00000371273,22,9,418,0.00098,0.50979,0.55502,v32_lung
ENST00000302118,31,11,692,0.00051,0.56368,0.53731,v32_lung
ENST00000371026,40,30,848,0.00088,0.47385,0.53306,v32_lung
ENST00000616738,33,25,896,0.00085,0.50971,0.52576,v32_lung
ENST00000370481,49,28,595,0.00096,0.63166,0.61849,v32_lung
ENST00000370473,50,33,592,0.00111,0.63625,0.67399,v32_lung
ENST00000294671,40,18,638,0.00071,0.59753,0.61468,v32_lung
ENST00000355754,38,13,640,0.00053,0.60576,0.6625,v32_lung
ENST00000370456,46,21,633,0.00072,0.55983,0.51508,v32_lung
ENST00000370459,53,29,586,0.00093,0.65754,0.65282,v32_lung
ENST00000370459,53,29,586,0.00093,0.65754,0.65282,v32_lung
ENST00000427103,15,7,422,0.00111,0.59684,0.54773,v32_lung
ENST00000370206,25,13,329,0.00158,0.58103,0.56769,v32_lung
ENST00000616709,13,11,369,0.00229,0.50969,0.56738,v32_lung
ENST00000370152,22,14,490,0.0013,0.56744,0.66166,v32_lung
ENST00000342173,14,10,284,0.00252,0.62022,0.58838,v32_lung
ENST00000358392,90,48,1818,0.00029,0.5094,0.52417,v32_lung
ENST00000369949,8,2,157,0.00159,0.49841,0.57324,v32_lung
ENST00000369868,7,1,251,0.00057,0.59818,0.94422,v32_lung
ENST00000469655,12,3,635,0.00039,0.60748,0.61155,v32_lung
ENST00000369740,25,7,476,0.00059,0.47218,0.57533,v32_lung
ENST00000369748,18,8,390,0.00114,0.54388,0.52724,v32_lung
ENST00000369478,20,15,351,0.00214,0.65513,0.64786,v32_lung
ENST00000328189,6,2,166,0.00201,0.39257,0.61747,v32_lung
ENST00000579774,23,9,358,0.00109,0.60432,0.72129,v32_lung
ENST00000616917,8,4,220,0.00227,0.54034,0.57386,v32_lung
ENST00000436748,8,4,227,0.0022,0.57709,0.63216,v32_lung
ENST00000414276,4,1,195,0.00128,0.88077,0.86667,v32_lung
ENST00000357235,4,1,79,0.00316,0.64557,0.74684,v32_lung
ENST00000368737,6,5,92,0.00906,0.56159,0.6,v32_lung
ENST00000368733,2,1,93,0.00538,0.59678,0.73118,v32_lung
ENST00000368708,7,3,98,0.00437,0.62099,0.80612,v32_lung
ENST00000324978,11,5,301,0.00151,0.48656,0.55349,v32_lung
ENST00000368406,11,6,183,0.00298,0.53701,0.59654,v32_lung
ENST00000368393,13,5,198,0.00194,0.51865,0.58586,v32_lung
ENST00000620103,20,9,475,0.00095,0.55379,0.52327,v32_lung
ENST00000620103,20,9,475,0.00095,0.55379,0.52327,v32_lung
ENST00000567140,18,3,142,0.00117,0.70696,0.51878,v32_lung
ENST00000337428,26,11,559,0.00076,0.54376,0.56855,v32_lung
ENST00000358292,21,10,366,0.0013,0.56284,0.58033,v32_lung
ENST00000368141,22,11,407,0.00123,0.50737,0.59661,v32_lung
ENST00000368155,18,14,231,0.00337,0.49543,0.57421,v32_lung
ENST00000368198,28,7,371,0.00067,0.52503,0.79399,v32_lung
ENST00000368198,28,7,371,0.00067,0.52503,0.79399,v32_lung
ENST00000368199,30,7,389,0.0006,0.51191,0.80352,v32_lung
ENST00000368099,58,24,551,0.00075,0.52406,0.57532,v32_lung
ENST00000392254,21,13,461,0.00134,0.63609,0.69848,v32_lung
ENST00000368140,22,14,492,0.00129,0.61151,0.67465,v32_lung
ENST00000368097,23,9,199,0.00197,0.45095,0.5148,v32_lung
ENST00000302035,14,5,335,0.00107,0.64136,0.73373,v32_lung
ENST00000613788,12,7,252,0.00231,0.54696,0.51984,v32_lung
ENST00000263285,33,12,655,0.00056,0.54129,0.71056,v32_lung
ENST00000368029,11,8,325,0.00224,0.58182,0.61808,v32_lung
ENST00000368012,28,9,510,0.00063,0.50987,0.65207,v32_lung
ENST00000311224,17,6,345,0.00102,0.49787,0.61111,v32_lung
ENST00000368026,7,3,299,0.00143,0.64262,0.57079,v32_lung
ENST00000367996,43,9,837,0.00025,0.55083,0.54188,v32_lung
ENST00000309758,30,6,643,0.00031,0.5494,0.5705,v32_lung
ENST00000650385,11,3,233,0.00117,0.40889,0.55937,v32_lung
ENST00000367964,11,3,233,0.00117,0.40889,0.55937,v32_lung
ENST00000545495,21,4,318,0.0006,0.54313,0.74135,v32_lung
ENST00000367929,5,4,132,0.00606,0.44394,0.5322,v32_lung
ENST00000443193,13,4,254,0.00121,0.46396,0.63189,v32_lung
ENST00000367967,13,4,254,0.00121,0.46396,0.63189,v32_lung
ENST00000436743,13,4,254,0.00121,0.46396,0.63189,v32_lung
ENST00000271411,3,3,57,0.01754,0.62573,0.62573,v32_lung
ENST00000367758,31,18,573,0.00101,0.53797,0.54101,v32_lung
ENST00000367755,16,10,532,0.00117,0.64897,0.65075,v32_lung
ENST00000367721,13,5,281,0.00137,0.42458,0.51317,v32_lung
ENST00000444639,5,3,99,0.00606,0.62828,0.64646,v32_lung
ENST00000444639,5,3,99,0.00606,0.62828,0.64646,v32_lung
ENST00000539888,9,8,485,0.00183,0.51409,0.52835,v32_lung
ENST00000512653,53,24,1167,0.00039,0.58785,0.59679,v32_lung
ENST00000367623,58,23,1161,0.00034,0.53658,0.62019,v32_lung
ENST00000367554,18,10,301,0.00185,0.52178,0.59103,v32_lung
ENST00000308641,16,11,367,0.00187,0.59452,0.6111,v32_lung
ENST00000367468,34,22,604,0.00107,0.5037,0.56299,v32_lung
