Gene,OptionalDataColumns
ENST00000339381,46
ENST00000673477,43
ENST00000378755,47
ENST00000340850,44
ENST00000377346,56
ENST00000304457,68
ENST00000235372,84
ENST00000318249,53
ENST00000357071,33
ENST00000374280,37
ENST00000373921,37
ENST00000460170,74
ENST00000373797,42
ENST00000372718,37
ENST00000372708,35
ENST00000372584,119
ENST00000372653,60
ENST00000355498,49
ENST00000371877,74
ENST00000371568,57
ENST00000371568,57
ENST00000414851,43
ENST00000342203,50
ENST00000317336,38
ENST00000370459,53
ENST00000487146,46
ENST00000359785,36
ENST00000682167,64
ENST00000682167,64
ENST00000369259,42
ENST00000369049,44
ENST00000368863,88
ENST00000292180,33
ENST00000648231,38
ENST00000529168,62
ENST00000334634,49
ENST00000368236,48
ENST00000708590,48
ENST00000368184,33
ENST00000361835,32
ENST00000263285,33
ENST00000368013,55
ENST00000263686,44
ENST00000367763,39
ENST00000344730,48
ENST00000511413,53
ENST00000367362,49
ENST00000348564,57
ENST00000442510,61
ENST00000360529,110
ENST00000461742,110
ENST00000367279,36
ENST00000309017,32
ENST00000309017,32
ENST00000309017,32
ENST00000691036,32
ENST00000403080,33
ENST00000584998,43
ENST00000581977,48
ENST00000367058,49
ENST00000367057,50
ENST00000400960,135
ENST00000367049,230
ENST00000367025,72
ENST00000261464,39
ENST00000469075,46
ENST00000518483,37
ENST00000366496,49
ENST00000348069,47
ENST00000380989,62
ENST00000397167,41
ENST00000378076,56
ENST00000537177,48
ENST00000374446,35
ENST00000374391,37
ENST00000610656,37
ENST00000374391,37
ENST00000610656,37
ENST00000325239,178
ENST00000373965,70
ENST00000617271,64
ENST00000395430,83
ENST00000263563,54
ENST00000373207,64
ENST00000335350,44
ENST00000605216,82
ENST00000348459,46
ENST00000414986,57
ENST00000371027,33
ENST00000612478,33
ENST00000369966,57
ENST00000254667,53
ENST00000306042,52
ENST00000445355,44
ENST00000312165,58
ENST00000332826,32
ENST00000411829,53
ENST00000254579,381
ENST00000529419,38
ENST00000005226,50
ENST00000672527,37
ENST00000265963,37
ENST00000348124,37
ENST00000311764,49
ENST00000527911,37
ENST00000406482,79
ENST00000347785,41
ENST00000356786,149
ENST00000394432,36
ENST00000377497,36
ENST00000394224,52
ENST00000308639,37
ENST00000531863,40
ENST00000308595,36
ENST00000542590,41
ENST00000354755,54
ENST00000530497,37
ENST00000260257,39
ENST00000303941,42
ENST00000426998,34
ENST00000431736,77
ENST00000525863,47
ENST00000392693,53
ENST00000645018,50
ENST00000382722,50
ENST00000440314,61
ENST00000683482,95
ENST00000710479,95
ENST00000399638,95
ENST00000644048,95
ENST00000356896,35
ENST00000011653,35
ENST00000399448,43
ENST00000456013,38
ENST00000318974,43
ENST00000548696,52
ENST00000425752,43
ENST00000357123,34
ENST00000394943,40
ENST00000615107,34
ENST00000548115,40
ENST00000301190,35
ENST00000267082,53
ENST00000449076,42
ENST00000331886,37
ENST00000551156,37
ENST00000551156,37
ENST00000546141,53
ENST00000430041,32
ENST00000424809,40
ENST00000393791,46
ENST00000257897,53
ENST00000229195,32
ENST00000261207,55
ENST00000549325,83
ENST00000388887,119
ENST00000312777,69
ENST00000346530,33
ENST00000330342,32
ENST00000266880,38
ENST00000432561,40
ENST00000610343,91
ENST00000241453,45
ENST00000536612,55
ENST00000429979,35
ENST00000389797,45
ENST00000349258,42
ENST00000378037,43
ENST00000554068,42
ENST00000646612,42
ENST00000396165,38
ENST00000556148,38
ENST00000324330,137
ENST00000395425,50
ENST00000619416,97
ENST00000315266,32
ENST00000394586,35
ENST00000553530,35
ENST00000556437,36
ENST00000380656,33
ENST00000357195,33
ENST00000334192,37
ENST00000644486,42
ENST00000688303,52
ENST00000440884,32
ENST00000392593,36
ENST00000450598,42
ENST00000397702,43
ENST00000260402,55
ENST00000320955,436
ENST00000396879,34
ENST00000434130,48
ENST00000309157,47
ENST00000268043,47
ENST00000672584,35
ENST00000395105,35
ENST00000616000,35
ENST00000673414,35
ENST00000359928,40
ENST00000558012,34
ENST00000409931,57
ENST00000220244,57
ENST00000394660,70
ENST00000394652,34
ENST00000268138,104
ENST00000328850,78
ENST00000357742,38
ENST00000421665,62
ENST00000359128,61
ENST00000294008,124
ENST00000574025,47
ENST00000631534,47
ENST00000324288,66
ENST00000396324,164
ENST00000621545,164
ENST00000564831,54
ENST00000561482,39
ENST00000358164,52
ENST00000356798,62
