NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_001243536,ENST00000520296,6,4,65,0.01026,0.5718,0.46923
NM_001256462,ENST00000620829,24,17,502,0.00141,0.58972,0.59175
NM_138705,ENST00000307786,9,6,181,0.00368,0.37446,0.22928
NM_153818,ENST00000288774,18,11,346,0.00177,0.49534,0.39911
NM_138697,ENST00000333172,39,26,841,0.00079,0.44544,0.47046
NM_001126241,ENST00000378285,28,19,450,0.00151,0.52992,0.51953
NM_003790,ENST00000356876,24,17,417,0.0017,0.56785,0.63253
NM_020631,ENST00000377728,44,30,1006,0.00068,0.59583,0.56776
NM_001042663,ENST00000400915,46,31,1043,0.00065,0.58429,0.56475
NM_199006,ENST00000470413,10,8,77,0.01039,0.42987,0.39773
NM_001103170,ENST00000359318,16,15,407,0.0023,0.52165,0.54513
NM_201628,ENST00000376030,54,42,775,0.001,0.42167,0.46402
NM_001017999,ENST00000400797,26,20,327,0.00235,0.43707,0.44755
NM_001135248,ENST00000375534,17,14,182,0.00452,0.38849,0.36264
NM_003748,ENST00000375341,24,17,563,0.00126,0.53241,0.46223
NM_001040125,ENST00000375153,11,8,291,0.0025,0.45798,0.48926
NM_001204085,ENST00000618761,9,8,181,0.00491,0.53837,0.49516
NM_024887,ENST00000360009,28,18,334,0.00192,0.65654,0.62625
NM_205861,ENST00000236342,27,17,333,0.00189,0.6531,0.61897
NM_004848,ENST00000373925,25,22,260,0.00338,0.62292,0.60122
NM_001164721,ENST00000539896,14,9,342,0.00188,0.55806,0.5653
NM_001193532,ENST00000465518,15,14,218,0.00428,0.63639,0.62254
NM_016011,ENST00000263702,25,20,373,0.00214,0.61844,0.56488
NM_001024732,ENST00000373791,23,18,297,0.00264,0.58469,0.52768
NM_001190481,ENST00000373220,72,58,1275,0.00063,0.56747,0.55928
NM_206837,ENST00000354267,16,11,223,0.00308,0.54596,0.56625
NM_001136275,ENST00000446189,14,13,147,0.00632,0.57532,0.58085
NR_037632,ENST00000494695,2,2,56,0.01786,0.55358,0.55358
NM_001198851,ENST00000372572,63,51,622,0.0013,0.58041,0.60485
NM_001017922,ENST00000372517,17,13,475,0.00161,0.4218,0.46008
NM_001256401,ENST00000413844,12,12,252,0.00397,0.55622,0.55622
NM_001262,ENST00000396148,9,9,168,0.00595,0.45437,0.45437
NM_078626,ENST00000371761,9,9,168,0.00595,0.45437,0.45437
NM_152265,ENST00000313334,8,8,158,0.00633,0.37816,0.37816
NM_148908,ENST00000371714,31,28,723,0.00125,0.40396,0.39824
NM_001007100,ENST00000430330,7,6,140,0.00612,0.67653,0.63095
NM_181712,ENST00000371153,60,44,995,0.00074,0.47864,0.48728
NM_001172818,ENST00000371083,22,19,580,0.00149,0.56724,0.57795
NM_001199329,ENST00000370894,13,11,169,0.00501,0.47246,0.48897
NM_198717,ENST00000628037,13,8,365,0.00169,0.70158,0.76199
NM_198716,ENST00000460330,14,9,374,0.00172,0.70588,0.77005
NR_028293,ENST00000479353,15,9,393,0.00153,0.69415,0.73933
NM_198714,ENST00000370931,14,8,390,0.00147,0.67857,0.71314
NM_198719,ENST00000306666,14,8,390,0.00147,0.67857,0.71314
NM_198715,ENST00000370924,16,10,388,0.00161,0.7181,0.76804
NM_006536,ENST00000370565,48,37,943,0.00082,0.48131,0.44407
NM_017734,ENST00000263174,32,31,551,0.00176,0.41408,0.42357
NM_152238,ENST00000529992,15,12,396,0.00202,0.54125,0.52273
NM_001256385,ENST00000370138,20,19,339,0.0028,0.52065,0.51374
NM_001854,ENST00000370096,90,77,1806,0.00047,0.50707,0.49755
NM_001134403,ENST00000310611,2,1,133,0.00376,0.48872,0.00752
NM_000036,ENST00000520113,31,22,747,0.00095,0.47882,0.45674
NM_152380,ENST00000207157,34,28,496,0.00166,0.54762,0.51404
NM_001256111,ENST00000682167,64,57,1021,0.00087,0.41747,0.42286
NM_001253849,ENST00000539893,7,6,187,0.00458,0.4026,0.40196
NM_001253850,ENST00000328189,6,4,166,0.00402,0.39257,0.49849
NR_045604,ENST00000369458,10,8,282,0.00284,0.48156,0.52394
NM_024626,ENST00000369458,10,8,282,0.00284,0.48156,0.52394
NR_045603,ENST00000369458,10,8,282,0.00284,0.48156,0.52394
NM_025008,ENST00000369041,66,38,877,0.00066,0.46643,0.46261
NM_001243771,ENST00000360244,5,4,247,0.00324,0.59838,0.50911
NM_001178062,ENST00000368912,40,26,922,0.0007,0.42522,0.39217
NM_020127,ENST00000368849,33,26,390,0.00202,0.53675,0.53333
NM_013353,ENST00000295314,26,19,345,0.00212,0.53623,0.47017
NM_145796,ENST00000368863,88,73,1315,0.00063,0.47967,0.49268
NM_005979,ENST00000440685,4,3,98,0.00765,0.45408,0.52041
NM_001024210,ENST00000476133,4,3,98,0.00765,0.45408,0.52041
NM_001255979,ENST00000368603,24,19,395,0.002,0.54747,0.52259
NR_024163,ENST00000368439,3,2,63,0.01058,0.5291,0.51588
NM_182685,ENST00000368406,11,8,183,0.00397,0.53701,0.55806
NM_001256532,ENST00000245564,31,24,570,0.00136,0.5103,0.51279
NM_001242825,ENST00000611010,17,16,248,0.0038,0.48885,0.50832
NM_001199661,ENST00000368276,18,10,220,0.00253,0.58889,0.42136
NM_001878,ENST00000368222,5,4,138,0.0058,0.52609,0.63768
NM_001004341,ENST00000454449,17,14,361,0.00228,0.42659,0.43945
NM_001763,ENST00000289429,18,14,327,0.00238,0.54043,0.48121
NM_001765,ENST00000368170,23,17,333,0.00222,0.44536,0.40682
NM_001764,ENST00000368168,25,20,333,0.0024,0.46366,0.45075
NM_005240,ENST00000326786,8,7,143,0.00612,0.40385,0.42857
NM_003126,ENST00000643759,194,175,2419,0.00037,0.50385,0.49771
NM_001185114,ENST00000444681,18,15,289,0.00288,0.50096,0.51511
NM_001042585,ENST00000368163,25,21,321,0.00262,0.45944,0.49844
NM_001042584,ENST00000368161,24,18,290,0.00259,0.46236,0.45709
NM_030893,ENST00000368167,30,24,388,0.00206,0.45412,0.47831
NM_001146172,ENST00000368092,12,7,198,0.00295,0.48148,0.42713
NM_033438,ENST00000368093,14,8,289,0.00198,0.39348,0.31229
NR_036493,ENST00000368072,21,18,299,0.00287,0.5743,0.60071
NM_030916,ENST00000368012,28,17,510,0.00119,0.50987,0.48754
NM_003874,ENST00000368054,17,12,328,0.00215,0.51148,0.46138
NM_001135240,ENST00000426197,14,7,315,0.00159,0.53038,0.56689
NM_001014796,ENST00000367922,40,33,855,0.00096,0.59123,0.63186
NM_001184763,ENST00000545294,13,11,345,0.00245,0.49298,0.48353
NM_000696,ENST00000354775,23,18,518,0.00151,0.47591,0.5162
NM_001174069,ENST00000294816,34,28,382,0.00216,0.58439,0.61556
NM_001256571,ENST00000619224,16,13,340,0.00239,0.50662,0.52489
NM_001195303,ENST00000527988,4,2,73,0.00685,0.45548,0.55479
NM_001167749,ENST00000545172,75,60,1457,0.00055,0.51791,0.52017
NM_001204514,ENST00000538366,34,32,714,0.00132,0.54585,0.53795
NM_172071,ENST00000367696,72,61,1133,0.00075,0.33457,0.32723
NM_022093,ENST00000239462,71,43,1299,0.00047,0.49095,0.47604
NM_173533,ENST00000294848,60,50,981,0.00085,0.52955,0.53878
NM_001136000,ENST00000344730,48,41,1064,0.0008,0.59461,0.59621
NM_000069,ENST00000362061,73,57,1873,0.00042,0.56142,0.54829
NM_003281,ENST00000361379,6,4,187,0.00357,0.46702,0.58957
NM_001127708,ENST00000367483,29,28,1363,0.00071,0.59119,0.57688
