ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,1,221,0.0009,0.49955,0.24887,v32_lung
ENST00000379289,33,4,673,0.00018,0.48404,0.28529,v32_lung
ENST00000611612,41,5,566,0.00022,0.47445,0.61767,v32_lung
ENST00000401095,72,7,1079,9e-05,0.50441,0.63087,v32_lung
ENST00000378567,25,7,592,0.00047,0.51426,0.56998,v32_lung
ENST00000303635,105,26,1673,0.00015,0.59187,0.69886,v32_lung
ENST00000354437,30,6,499,0.0004,0.53995,0.56914,v32_lung
ENST00000378295,41,7,636,0.00027,0.54268,0.4982,v32_lung
ENST00000378288,39,7,587,0.00031,0.53318,0.45631,v32_lung
ENST00000378290,38,7,565,0.00033,0.52892,0.43514,v32_lung
ENST00000344008,43,4,1166,8e-05,0.50985,0.79202,v32_lung
ENST00000376753,19,3,293,0.00054,0.68996,0.85665,v32_lung
ENST00000304457,68,33,860,0.00056,0.52396,0.53541,v32_lung
ENST00000358897,125,40,1412,0.00023,0.51705,0.44949,v32_lung
ENST00000361144,33,5,415,0.00037,0.46499,0.72964,v32_lung
ENST00000400797,26,5,327,0.00059,0.43707,0.65688,v32_lung
ENST00000375448,30,6,663,0.0003,0.50593,0.28482,v32_lung
ENST00000628229,30,6,663,0.0003,0.50593,0.28482,v32_lung
ENST00000375105,11,0,145,0.0,0.58809,,v32_lung
ENST00000615215,12,2,215,0.00078,0.47248,0.46976,v32_lung
ENST00000342104,50,15,621,0.00048,0.45192,0.42791,v32_lung
ENST00000302291,53,20,1076,0.00035,0.48234,0.3915,v32_lung
ENST00000617979,17,2,348,0.00034,0.59179,0.47845,v32_lung
ENST00000374421,22,5,491,0.00046,0.44918,0.46069,v32_lung
ENST00000308873,17,0,415,0.0,0.545,,v32_lung
ENST00000328664,11,3,417,0.00065,0.4371,0.22942,v32_lung
ENST00000374395,16,3,241,0.00078,0.48885,0.57815,v32_lung
ENST00000346452,9,2,266,0.00084,0.45614,0.16542,v32_lung
ENST00000308182,92,19,1661,0.00012,0.48484,0.51085,v32_lung
ENST00000361530,53,15,713,0.0004,0.4952,0.62347,v32_lung
ENST00000339276,11,0,248,0.0,0.49707,,v32_lung
ENST00000374168,30,8,735,0.00036,0.61116,0.50272,v32_lung
ENST00000629832,30,8,735,0.00036,0.61116,0.50272,v32_lung
ENST00000531382,31,6,744,0.00026,0.5963,0.66196,v32_lung
ENST00000628256,31,6,744,0.00026,0.5963,0.66196,v32_lung
ENST00000374024,8,1,330,0.00038,0.76856,0.69394,v32_lung
ENST00000354982,11,2,288,0.00063,0.50947,0.31771,v32_lung
ENST00000270879,12,2,299,0.00056,0.5014,0.32442,v32_lung
ENST00000362020,2,0,134,0.0,0.3806,,v32_lung
ENST00000361157,2,0,130,0.0,0.37692,,v32_lung
ENST00000399173,24,7,529,0.00055,0.61256,0.66676,v32_lung
ENST00000374005,24,7,529,0.00055,0.61256,0.66676,v32_lung
ENST00000373888,13,3,373,0.00062,0.57393,0.78731,v32_lung
ENST00000373921,37,8,643,0.00034,0.49477,0.52255,v32_lung
ENST00000539896,14,2,342,0.00042,0.55806,0.58626,v32_lung
ENST00000373765,23,1,496,9e-05,0.48545,0.60282,v32_lung
ENST00000398958,21,5,421,0.00057,0.53489,0.66746,v32_lung
ENST00000373831,24,5,452,0.00046,0.50913,0.69027,v32_lung
ENST00000360482,75,18,1216,0.0002,0.52811,0.41831,v32_lung
ENST00000409358,24,6,349,0.00072,0.57032,0.64565,v32_lung
ENST00000336890,26,4,509,0.0003,0.51368,0.63704,v32_lung
ENST00000526031,16,4,335,0.00075,0.36735,0.47015,v32_lung
ENST00000339480,5,1,266,0.00075,0.32181,0.29699,v32_lung
ENST00000373362,12,0,270,0.0,0.5179,,v32_lung
ENST00000207457,34,5,430,0.00034,0.43523,0.36465,v32_lung
ENST00000373087,33,7,599,0.00035,0.56038,0.49821,v32_lung
ENST00000373106,52,16,836,0.00037,0.47898,0.44819,v32_lung
ENST00000373103,56,18,863,0.00037,0.49485,0.47773,v32_lung
ENST00000615459,16,1,236,0.00026,0.68035,0.92797,v32_lung
ENST00000361689,512,197,5430,7e-05,0.49881,0.50873,v32_lung
ENST00000372583,120,25,2406,9e-05,0.46924,0.43007,v32_lung
ENST00000236040,42,9,804,0.00027,0.47154,0.46435,v32_lung
ENST00000431635,32,9,361,0.00078,0.56934,0.56171,v32_lung
ENST00000610710,97,32,1283,0.00026,0.5646,0.43029,v32_lung
ENST00000414809,8,0,228,0.0,0.47149,,v32_lung
ENST00000372359,7,0,220,0.0,0.51493,,v32_lung
ENST00000621943,12,3,279,0.0009,0.57497,0.78853,v32_lung
ENST00000359947,102,21,1907,0.00011,0.54563,0.63675,v32_lung
ENST00000372372,11,1,413,0.00022,0.63746,0.4092,v32_lung
ENST00000528266,48,15,622,0.0005,0.42283,0.4433,v32_lung
ENST00000537798,34,21,724,0.00085,0.52547,0.51934,v32_lung
ENST00000691006,10,0,331,0.0,0.54713,,v32_lung
ENST00000341183,19,1,329,0.00016,0.55447,0.84195,v32_lung
ENST00000271153,21,1,511,9e-05,0.50759,0.1683,v32_lung
ENST00000404795,16,0,542,0.0,0.47821,,v32_lung
ENST00000438567,24,3,681,0.00018,0.50906,0.70289,v32_lung
ENST00000236495,25,3,706,0.00017,0.51173,0.71341,v32_lung
ENST00000306052,35,5,963,0.00015,0.49304,0.74683,v32_lung
ENST00000371273,22,3,418,0.00033,0.50979,0.52472,v32_lung
ENST00000302118,31,7,692,0.00033,0.56368,0.60467,v32_lung
ENST00000495776,2,0,19,0.0,0.55264,,v32_lung
ENST00000371201,33,14,546,0.00078,0.44544,0.44519,v32_lung
ENST00000347310,31,17,629,0.00087,0.46418,0.47872,v32_lung
ENST00000371026,40,21,848,0.00062,0.47385,0.50949,v32_lung
ENST00000616738,33,18,896,0.00061,0.50971,0.45684,v32_lung
ENST00000326665,61,24,1530,0.00026,0.52388,0.4369,v32_lung
ENST00000319517,63,28,1403,0.00032,0.45841,0.47518,v32_lung
ENST00000370608,28,13,566,0.00082,0.45671,0.43286,v32_lung
ENST00000294664,42,18,891,0.00048,0.49086,0.56111,v32_lung
ENST00000370565,48,21,943,0.00046,0.48131,0.43716,v32_lung
ENST00000370481,49,22,595,0.00075,0.63166,0.70382,v32_lung
ENST00000370473,50,21,592,0.00071,0.63625,0.68645,v32_lung
ENST00000294671,40,14,638,0.00055,0.59753,0.69469,v32_lung
ENST00000355754,38,11,640,0.00045,0.60576,0.72869,v32_lung
ENST00000370456,46,16,633,0.00055,0.55983,0.5548,v32_lung
ENST00000370459,53,23,586,0.00074,0.65754,0.7076,v32_lung
ENST00000370459,53,23,586,0.00074,0.65754,0.7076,v32_lung
ENST00000427103,15,1,422,0.00016,0.59684,0.81043,v32_lung
ENST00000358392,90,57,1818,0.00035,0.5094,0.50707,v32_lung
ENST00000370083,18,6,511,0.00065,0.41313,0.19537,v32_lung
ENST00000330330,18,6,511,0.00065,0.41313,0.19537,v32_lung
ENST00000370083,18,6,511,0.00065,0.41313,0.19537,v32_lung
ENST00000369949,8,1,157,0.0008,0.49841,0.16561,v32_lung
ENST00000369868,7,0,251,0.0,0.59818,,v32_lung
ENST00000369769,22,5,575,0.0004,0.51763,0.33531,v32_lung
ENST00000469655,12,1,635,0.00013,0.60748,0.97008,v32_lung
ENST00000369740,25,6,476,0.0005,0.47218,0.65021,v32_lung
ENST00000369748,18,5,390,0.00071,0.54388,0.60308,v32_lung
ENST00000369642,8,1,193,0.00065,0.41969,0.14508,v32_lung
ENST00000528414,31,10,752,0.00043,0.48383,0.60253,v32_lung
ENST00000359785,36,14,807,0.00048,0.47752,0.54789,v32_lung
ENST00000336338,132,62,2223,0.00021,0.46148,0.48433,v32_lung
ENST00000682167,64,27,1021,0.00041,0.41747,0.47089,v32_lung
ENST00000295598,44,13,1023,0.00029,0.52997,0.40672,v32_lung
ENST00000537345,44,13,1023,0.00029,0.52997,0.40672,v32_lung
ENST00000369304,69,23,1167,0.00029,0.49144,0.52912,v32_lung
ENST00000534502,21,8,430,0.00089,0.49524,0.42209,v32_lung
ENST00000579774,23,5,358,0.00061,0.60432,0.64413,v32_lung
ENST00000369041,66,16,877,0.00028,0.46643,0.3755,v32_lung
ENST00000368969,64,22,1290,0.00027,0.45924,0.42156,v32_lung
