Gene,OptionalDataColumns
ENST00000377939,4
ENST00000428161,2
ENST00000376480,1
ENST00000235329,3
ENST00000294454,2
ENST00000696689,0
ENST00000375662,2
ENST00000375499,1
ENST00000375108,2
ENST00000374434,4
ENST00000374395,2
ENST00000374272,2
ENST00000374300,1
ENST00000373713,0
ENST00000373471,1
ENST00000496770,1
ENST00000235628,2
ENST00000431473,2
ENST00000372597,4
ENST00000311672,0
ENST00000343744,1
ENST00000371244,3
ENST00000371204,4
ENST00000371083,1
ENST00000446538,2
ENST00000370137,4
ENST00000370137,4
ENST00000370137,4
ENST00000357155,1
ENST00000369697,1
ENST00000630362,3
ENST00000369626,3
ENST00000261448,3
ENST00000475797,1
ENST00000357836,1
ENST00000336751,1
ENST00000369347,3
ENST00000369347,3
ENST00000582693,3
ENST00000579774,2
ENST00000545683,0
ENST00000368921,0
ENST00000368914,1
ENST00000427500,3
ENST00000613861,3
ENST00000368304,0
ENST00000342751,0
ENST00000545495,1
ENST00000512372,3
ENST00000511676,3
ENST00000426197,3
ENST00000367889,0
ENST00000530507,0
ENST00000367661,3
ENST00000412633,0
ENST00000422165,0
ENST00000367318,0
ENST00000608999,3
ENST00000491336,1
ENST00000290419,2
ENST00000429964,2
ENST00000506784,3
ENST00000360066,2
ENST00000367137,0
ENST00000367135,4
ENST00000367093,2
ENST00000408911,0
ENST00000391890,0
ENST00000493603,0
ENST00000493603,0
ENST00000359162,0
ENST00000366578,0
ENST00000450372,2
ENST00000407071,4
ENST00000335698,1
ENST00000361271,1
ENST00000377602,2
ENST00000376510,0
ENST00000376495,3
ENST00000282343,4
ENST00000377329,4
ENST00000376140,3
ENST00000419399,1
ENST00000373910,3
ENST00000337910,3
ENST00000355790,0
ENST00000372873,3
ENST00000394810,4
ENST00000394936,0
ENST00000707120,3
ENST00000472493,0
ENST00000225174,0
ENST00000464716,1
ENST00000623056,1
ENST00000372066,0
ENST00000623007,0
ENST00000361373,1
ENST00000429277,1
ENST00000371947,3
ENST00000371697,3
ENST00000307534,1
ENST00000357947,1
ENST00000298808,1
ENST00000307518,1
ENST00000453258,2
ENST00000467928,0
